@relation 'DLBCL_transformed_data_johnson-weka.filters.unsupervised.attribute.Remove-V-R11,66,78,128,131,143,148,170,187,196,238,248,306,311,313-314,354,370,390,394,412,447,471,478,502,513,515,522-523,540,561,563,586,596,620,622,635,642,662,670,695,712,718,752,786,794,797,808,811,816-817,823,842,855,910,924,995,1017,1026,1038,1071,1074,1078,1093,1107,1117,1129,1149,1167,1169,1178,1214,1226,1237,1240,1245,1268,1325,1329,1343,1470,1488,1541,1552,1574,1580,1602,1626,1643,1657,1694,1701,1711,1735,1745,1749,1765,1778,1789,1853,1878,1891,1917,1931-1932,1936,1944,1957,1979,2003,2018,2025,2056,2076-2077,2093,2119,2131,2156,2159,2176,2193,2205,2220,2224,2236,2258,2262,2268,2304,2317,2362,2400,2409,2421,2423,2462,2469,2500,2561,2568,2597,2605,2643,2646,2648-weka.filters.unsupervised.attribute.Remove-V-R47,20,128,73,58,114,131,63,86,53,84,95,137,77,15,141,88,96,55,81,29,37,144,34,116,51,19,39,79,145-146'

@attribute L25876_at numeric
@attribute D87119_at numeric
@attribute X67951_at numeric
@attribute M74093_at numeric
@attribute M25753_at numeric
@attribute X14046_at numeric
@attribute X74795_at numeric
@attribute M32402_at numeric
@attribute U28831_at numeric
@attribute L37043_at numeric
@attribute U24577_at numeric
@attribute U52112_rna5_at numeric
@attribute X95073_at numeric
@attribute M86752_at numeric
@attribute D78011_at numeric
@attribute Z24727_at numeric
@attribute U33839_at numeric
@attribute U52513_at numeric
@attribute M13560_s_at numeric
@attribute U14518_at numeric
@attribute HG3928-HT4198_at numeric
@attribute J04599_at numeric
@attribute Z84497_s_at numeric
@attribute J03191_at numeric
@attribute X15940_at numeric
@attribute L32140_at numeric
@attribute D87024_at numeric
@attribute K02777_s_at numeric
@attribute S60415_at numeric
@attribute Z97054_xpt2_at numeric
@attribute Class {Cancer,normal}

@data
0.916852,-0.969425,0.622257,0.095384,0.690986,0.165006,-0.231265,0.191718,0.103356,0.546867,0.093087,-0.853347,0.048624,-0.324043,-0.201213,1.114755,0.781532,0.684444,0.595925,0.775429,-0.865029,-0.747689,-0.048161,0.759074,0.79768,-2.366368,2.357555,-0.251624,0.322097,-0.542939,Cancer
-0.296986,-1.354623,-0.015746,0.429297,-0.467297,-1.615792,-0.434444,2.595849,-1.208906,-1.130905,-0.497151,0.803443,-0.492981,-0.367344,0.021264,-1.069971,1.041498,1.604338,0.595925,-0.935102,-1.389899,-0.715757,0.300274,-0.972593,-1.667113,-0.72945,1.573551,0.736297,-0.686415,-0.393025,Cancer
0.677036,-1.713551,-0.114351,0.278126,-0.003951,0.491989,0.821044,-0.166479,-1.313191,1.869518,-1.052959,0.033124,0.026072,1.251371,-0.559575,0.649435,-1.798384,-1.291453,-2.111778,-0.975554,-1.691843,1.986284,1.607475,1.307094,-1.74317,-0.841843,-0.256326,-0.321017,-0.349847,1.541238,Cancer
2.211739,1.204158,0.921268,0.777092,1.923706,-1.090145,-0.688399,-1.49745,-0.38332,-0.488834,1.291144,-3.527737,1.73638,0.712755,-2.452076,0.744621,-0.457732,0.428349,-0.72206,1.434672,0.833829,-0.964173,-0.661753,-0.009858,0.79768,-0.332999,-1.232878,0.723648,-0.292137,-0.751729,Cancer
0.770365,-0.773348,-0.37578,0.357178,-0.056333,-0.434228,-0.422254,1.319044,-0.700534,-1.261193,-0.421828,0.042251,-0.134227,0.432821,1.952354,-1.02835,0.627649,-2.118959,0.595925,-0.747323,-0.48846,0.13572,-0.294275,-0.92834,0.79768,0.718863,-0.518594,-0.261903,0.436958,-0.964282,Cancer
-0.173417,-1.755503,-0.018123,-0.265404,-0.051279,0.500766,0.032324,0.493295,-0.724724,-0.317892,0.209373,0.909993,-0.632434,-0.372664,-0.151718,-0.465466,0.19174,0.48699,0.595925,-0.079127,-1.082134,1.43466,0.518891,-0.137145,0.79768,0.148153,0.179941,-0.125121,-0.17703,-0.482816,Cancer
1.532458,1.531306,1.276617,2.028919,1.538707,0.179937,1.659397,0.118365,1.876786,1.284974,1.131883,0.465356,0.707855,1.123635,-0.089696,0.394194,1.100251,1.483782,0.595925,2.087065,1.942625,-0.925106,-0.610075,1.307094,0.79768,-0.549746,-0.160927,-0.672065,0.541347,1.278176,Cancer
-0.473118,0.13024,0.104389,0.564639,0.057598,1.371418,-0.137189,0.341048,0.593563,0.546365,0.868074,-0.081017,0.21651,0.633001,0.35734,0.01571,-0.296438,0.757207,0.595925,0.177098,-0.177099,0.28363,-0.340843,0.912108,0.79768,0.593708,0.198291,0.568714,-0.152345,1.519477,Cancer
0.749699,1.505362,1.101337,0.43144,1.382267,1.492938,0.87101,-1.02364,-1.118253,-1.170245,0.942248,0.416237,0.459932,2.184673,-1.31289,0.946371,0.916737,-0.846157,0.595925,0.401735,-1.045899,-1.145403,-0.010197,0.653529,0.79768,-0.449795,-0.48681,0.40151,-0.426374,1.611111,Cancer
0.60767,-1.7003,0.815295,-0.86308,0.370929,0.314936,0.107857,-0.912113,0.480195,0.366079,0.550859,-0.175878,0.663058,-0.268652,0.194835,0.190254,0.39206,-0.626344,0.595925,0.664322,-0.243915,1.575882,1.391914,0.690243,0.51699,0.687929,0.225759,1.06743,1.846184,1.597103,Cancer
0.745236,0.6196,1.013803,0.002219,0.746635,0.912508,1.588535,-0.142938,1.154529,0.994533,0.446719,-0.805912,0.811898,1.585985,-2.602389,0.954853,-0.600434,2.597614,0.595925,0.012405,-0.425557,2.357954,1.508802,0.077648,0.79768,0.286477,-1.915256,0.658288,-0.419668,1.962446,Cancer
0.144786,-0.831382,1.302312,2.138984,1.185856,-0.508888,1.216191,0.813297,0.505899,1.489862,0.350034,0.154149,-1.454599,1.719094,-0.648531,1.853275,1.003549,-1.768441,0.595925,1.626517,1.043273,1.07568,-1.610135,1.307094,-1.130049,0.163351,-1.414873,-1.530266,0.767743,0.499106,Cancer
-1.834689,0.142449,-1.794986,-0.694123,-1.457066,-0.649715,-1.761553,0.640498,-0.825303,-1.40476,-1.582863,-0.763078,-0.565567,-1.399999,-0.421846,-0.834709,-1.746178,-0.391438,-2.118085,-1.33415,-0.370197,-0.723542,-0.123189,-1.756743,-1.915735,0.19148,0.706555,-0.642025,-0.999718,-1.623709,normal
