@relation 'DLBCL_transformed_data_johnson-weka.filters.unsupervised.attribute.Remove-V-R11,66,78,128,131,143,148,170,187,196,238,248,306,311,313-314,354,370,390,394,412,447,471,478,502,513,515,522-523,540,561,563,586,596,620,622,635,642,662,670,695,712,718,752,786,794,797,808,811,816-817,823,842,855,910,924,995,1017,1026,1038,1071,1074,1078,1093,1107,1117,1129,1149,1167,1169,1178,1214,1226,1237,1240,1245,1268,1325,1329,1343,1470,1488,1541,1552,1574,1580,1602,1626,1643,1657,1694,1701,1711,1735,1745,1749,1765,1778,1789,1853,1878,1891,1917,1931-1932,1936,1944,1957,1979,2003,2018,2025,2056,2076-2077,2093,2119,2131,2156,2159,2176,2193,2205,2220,2224,2236,2258,2262,2268,2304,2317,2362,2400,2409,2421,2423,2462,2469,2500,2561,2568,2597,2605,2643,2646,2648'

@attribute AB002315_at numeric
@attribute AFFX-HUMRGE/M10098_M_at numeric
@attribute D00654_at numeric
@attribute D14663_at numeric
@attribute D14710_at numeric
@attribute D16480_at numeric
@attribute D17400_at numeric
@attribute D25539_at numeric
@attribute D28383_at numeric
@attribute D29642_at numeric
@attribute D42055_at numeric
@attribute D43951_at numeric
@attribute D64109_at numeric
@attribute D67029_at numeric
@attribute D78011_at numeric
@attribute D78014_at numeric
@attribute D83407_at numeric
@attribute D86956_at numeric
@attribute D87024_at numeric
@attribute D87119_at numeric
@attribute D87735_at numeric
@attribute HG1869-HT1904_at numeric
@attribute HG2707-HT2803_at numeric
@attribute HG2788-HT2896_at numeric
@attribute HG3477-HT3670_at numeric
@attribute HG371-HT26388_at numeric
@attribute HG3731-HT4001_at numeric
@attribute HG3925-HT4195_at numeric
@attribute HG3928-HT4198_at numeric
@attribute HG4272-HT4542_at numeric
@attribute HG613-HT613_at numeric
@attribute HG658-HT658_f_at numeric
@attribute J02783_at numeric
@attribute J03191_at numeric
@attribute J04056_at numeric
@attribute J04080_at numeric
@attribute J04599_at numeric
@attribute J04970_at numeric
@attribute K02777_s_at numeric
@attribute L00354_at numeric
@attribute L07033_at numeric
@attribute L09229_s_at numeric
@attribute L10343_at numeric
@attribute L14837_at numeric
@attribute L23808_at numeric
@attribute L25286_s_at numeric
@attribute L25876_at numeric
@attribute L28010_at numeric
@attribute L29008_at numeric
@attribute L32137_at numeric
@attribute L32140_at numeric
@attribute L33799_at numeric
@attribute L37043_at numeric
@attribute L40392_at numeric
@attribute M13560_s_at numeric
@attribute M14745_at numeric
@attribute M23178_s_at numeric
@attribute M25753_at numeric
@attribute M26880_at numeric
@attribute M28827_at numeric
@attribute M31994_at numeric
@attribute M32304_s_at numeric
@attribute M32402_at numeric
@attribute M33764_at numeric
@attribute M34516_r_at numeric
@attribute M36284_s_at numeric
@attribute M37583_at numeric
@attribute M55543_at numeric
@attribute M60450_s_at numeric
@attribute M60527_at numeric
@attribute M62303_at numeric
@attribute M68520_at numeric
@attribute M74093_at numeric
@attribute M77349_at numeric
@attribute M80397_s_at numeric
@attribute M81757_at numeric
@attribute M86752_at numeric
@attribute S41458_at numeric
@attribute S60415_at numeric
@attribute S72024_s_at numeric
@attribute U14518_at numeric
@attribute U16660_at numeric
@attribute U23752_at numeric
@attribute U24577_at numeric
@attribute U28150_at numeric
@attribute U28831_at numeric
@attribute U31556_at numeric
@attribute U33839_at numeric
@attribute U36922_at numeric
@attribute U38846_at numeric
@attribute U46025_at numeric
@attribute U47077_at numeric
@attribute U48707_at numeric
@attribute U51004_at numeric
@attribute U52112_rna5_at numeric
@attribute U52513_at numeric
@attribute U57093_at numeric
@attribute U58516_at numeric
@attribute U59913_at numeric
@attribute U72511_at numeric
@attribute U76764_s_at numeric
@attribute U78095_at numeric
@attribute U82979_at numeric
@attribute U86602_at numeric
@attribute U86782_at numeric
@attribute U88726_at numeric
@attribute U90313_at numeric
@attribute U90909_at numeric
@attribute U95740_rna1_at numeric
@attribute X02419_rna1_s_at numeric
@attribute X04085_rna1_at numeric
@attribute X04412_at numeric
@attribute X07876_at numeric
@attribute X14046_at numeric
@attribute X14253_s_at numeric
@attribute X15940_at numeric
@attribute X51956_rna1_at numeric
@attribute X53331_at numeric
@attribute X56468_at numeric
@attribute X56807_at numeric
@attribute X58529_at numeric
@attribute X60484_at numeric
@attribute X61970_at numeric
@attribute X63380_at numeric
@attribute X63527_at numeric
@attribute X64838_at numeric
@attribute X67337_at numeric
@attribute X67951_at numeric
@attribute X68560_at numeric
@attribute X73460_at numeric
@attribute X74795_at numeric
@attribute X79536_at numeric
@attribute X83441_at numeric
@attribute X85116_rna1_s_at numeric
@attribute X87212_at numeric
@attribute X87767_at numeric
@attribute X95073_at numeric
@attribute X95632_s_at numeric
@attribute X99886_s_at numeric
@attribute Z21507_at numeric
@attribute Z24727_at numeric
@attribute Z37166_at numeric
@attribute Z48042_at numeric
@attribute Z84497_s_at numeric
@attribute Z97054_xpt2_at numeric
@attribute Class {Cancer,normal}

@data
-0.12469,-0.928065,-0.288516,0.24302,-0.019647,-0.183257,0.929146,-0.955677,-0.593025,0.556775,0.853829,-0.188798,-0.239766,0.233029,-0.201213,0.347593,-1.35129,0.073158,2.357555,-0.969425,0.515255,0.591807,0.059081,-0.123106,1.159141,-0.400436,0.81463,0.239296,-0.865029,0.755191,-0.595862,0.909812,0.056144,0.759074,-0.15316,-0.288407,-0.747689,0.643418,-0.251624,-0.666191,0.124901,0.421925,-0.375154,0.334491,1.040818,0.567711,0.916852,0.620085,0.809857,-2.019093,-2.366368,-0.447469,0.546867,0.291611,0.595925,-0.334216,0.912402,0.690986,0.040498,-0.206639,-0.263822,-0.528876,0.191718,0.72794,-1.005854,0.532154,1.512836,-0.186325,0.00131,1.039867,0.02777,0.823707,0.095384,-0.232952,-0.82383,0.509331,-0.324043,-0.22758,0.322097,1.012479,0.775429,-0.03751,0.69166,0.093087,-0.101773,0.103356,1.095759,0.781532,-0.588893,0.812448,0.30883,-0.431504,-0.45794,0.776249,-0.853347,0.684444,-0.119547,0.488816,1.124255,0.464475,-0.406864,0.355044,0.335247,-0.03285,1.073142,0.697077,0.390045,0.262619,-0.125615,0.347265,-0.064118,-0.970826,0.834332,0.165006,0.918202,0.79768,0.920302,-0.733861,1.151459,0.611921,1.075916,0.607929,-0.328794,0.45607,0.540043,1.026954,0.63941,0.622257,0.603734,0.569824,-0.231265,0.159927,-0.245903,-0.137388,-0.306447,0.452107,0.048624,0.113336,0.134793,0.063351,1.114755,-0.012986,0.299112,-0.048161,-0.542939,Cancer
-0.419399,0.091961,1.203283,-0.945894,-0.738718,-0.186505,-0.450809,-0.658264,0.247653,-1.02483,-0.04503,-1.19746,-1.216895,-1.537101,0.021264,-1.648186,1.339048,-0.437519,1.573551,-1.354623,-1.632812,-0.440082,-2.03389,-1.221435,0.517636,0.677292,1.505644,0.930697,-1.389899,0.241238,-1.198406,0.494738,-0.676763,-0.972593,0.843934,-0.689852,-0.715757,-0.41655,0.736297,0.835704,-1.333286,0.672196,-0.791751,-0.607991,-0.928484,0.033967,-0.296986,-0.338601,-1.415639,-0.963101,-0.72945,-0.120911,-1.130905,-0.913999,0.595925,-1.2337,1.365662,-0.467297,-0.57742,0.82031,0.31629,0.578027,2.595849,-0.798151,-1.596754,-0.841689,-0.743543,1.055889,1.368407,-1.493977,0.812041,0.529647,0.429297,1.130402,-0.649577,-2.392708,-0.367344,0.781291,-0.686415,-0.146329,-0.935102,-1.032068,1.453787,-0.497151,1.474511,-1.208906,-1.169602,1.041498,-1.657176,-0.657612,-0.661016,-1.711697,-0.548521,-1.311309,0.803443,1.604338,-0.192876,-0.725847,0.403073,-1.087431,1.002393,0.242436,0.43005,-0.331687,-0.42,-0.294002,-0.51696,-0.559473,-0.546303,0.68631,-2.222054,-1.248276,0.551448,-1.615792,1.475768,-1.667113,-0.444708,-0.861835,-1.123875,-2.002586,-1.423816,1.098156,-0.739184,-0.605256,-1.833553,0.174471,-1.123122,-0.015746,-1.040321,-2.069636,-0.434444,0.071196,-0.272683,0.88098,0.408945,-1.555312,-0.492981,0.519506,2.229657,-1.34653,-1.069971,-0.845764,-0.061364,0.300274,-0.393025,Cancer
-3.135577,-0.798624,1.768516,-2.39321,0.395983,-0.081741,-0.591792,-0.617737,1.210523,-0.134228,-0.334702,0.409758,-0.439622,1.013106,-0.559575,0.114044,-1.543425,-0.277774,-0.256326,-1.713551,-0.29456,0.153524,0.33915,-1.169023,0.135345,-0.010643,-0.7782,0.085431,-1.691843,0.006842,-0.420949,0.178945,-0.279172,1.307094,-1.276772,-0.528007,1.986284,-1.459026,-0.321017,-0.463488,0.368405,0.773248,-1.684205,-0.074313,-1.535215,-0.334562,0.677036,0.08063,-0.463803,-0.652378,-0.841843,-0.420908,1.869518,-0.803498,-2.111778,0.782854,-1.006873,-0.003951,-1.550036,-2.203265,-1.800106,-0.327609,-0.166479,-0.866688,0.835455,2.040267,0.098057,-1.671319,-1.650892,-0.12985,-0.573683,1.272312,0.278126,-0.355625,0.363102,0.509331,1.251371,-0.392213,-0.349847,1.511305,-0.975554,-0.05201,-1.716815,-1.052959,-1.5626,-1.313191,-0.324921,-1.798384,-0.455031,0.64653,-0.332399,-0.193344,-0.340335,-0.481209,0.033124,-1.291453,-0.494771,-0.299438,-0.623079,-0.061739,-0.854383,2.996323,-1.265139,-0.670795,-0.243823,0.752661,-1.011929,0.374379,0.267945,0.0956,0.002186,-0.219328,-0.40543,0.491989,0.323974,-1.74317,0.83938,-0.052223,0.360405,-0.927153,1.357505,0.258099,-0.469201,0.868988,0.540043,-0.91301,-0.35379,-0.114351,-0.319975,0.569824,0.821044,-0.860519,1.272153,-1.855889,-1.176315,-1.714633,0.026072,-0.509421,-0.333297,-1.123883,0.649435,-0.44847,0.539648,1.607475,1.541238,Cancer
0.088207,-0.197262,-1.289427,1.53814,1.456307,1.033404,2.226662,0.302391,0.226733,-0.415881,-0.349736,0.053584,-0.284983,0.120603,-2.452076,-1.016172,0.007178,1.003665,-1.232878,1.204158,1.531225,0.786092,-0.173761,0.152258,-0.941968,-2.259782,-0.880135,-1.228342,0.833829,-1.485469,1.056058,-1.07854,0.175061,-0.009858,0.025506,-0.166076,-0.964173,-0.830954,0.723648,-0.918528,-1.198366,-1.18383,-1.267841,0.711003,1.515519,-0.318696,2.211739,0.843314,-0.389711,-0.528305,-0.332999,-0.529565,-0.488834,0.944541,-0.72206,0.666368,0.256305,1.923706,0.699355,0.268884,-1.081212,0.255644,-1.49745,1.343231,1.285921,-0.119442,2.139828,0.498307,-0.168817,2.261613,-0.612763,1.04747,0.777092,0.63434,0.079834,0.509331,0.712755,-0.908761,-0.292137,-1.332999,1.434672,-0.096434,0.358466,1.291144,0.739674,-0.38332,1.344982,-0.457732,0.918978,2.231932,0.193936,1.323703,-0.532683,0.772096,-3.527737,0.428349,-0.209403,-1.443702,-0.239843,1.251483,-0.507052,0.171769,-0.939988,0.976285,2.22765,-1.346366,1.612203,-0.469829,0.596462,0.545713,0.659233,0.405358,0.002004,-1.090145,-1.822946,0.79768,-1.008503,1.033381,-1.732067,-0.227413,-0.498642,-0.65661,1.758501,-0.200132,0.540043,0.328451,0.901429,0.921268,1.913615,0.569824,-0.688399,0.61156,0.551119,0.474901,0.721571,1.114199,1.73638,-0.09643,-1.626052,1.188394,0.744621,-0.089425,1.256272,-0.661753,-0.751729,Cancer
-0.475885,1.02063,0.141192,-0.63812,0.498969,0.277372,0.106461,-0.050515,0.16619,-2.350407,-0.258803,-1.205367,1.53602,0.026197,1.952354,0.057253,-1.025217,-0.039566,-0.518594,-0.773348,0.998994,-0.938297,-0.000435,-1.443664,-0.385902,0.353326,-0.224047,1.128495,-0.48846,-0.787207,1.056058,-0.79689,-0.675251,-0.92834,-0.711647,-1.395948,0.13572,0.236641,-0.261903,0.781783,-1.215733,-0.209603,0.8228,-2.50328,-0.703407,-1.696636,0.770365,-0.075305,1.075808,0.569697,0.718863,-0.375604,-1.261193,-1.802711,0.595925,-2.037174,0.543881,-0.056333,-0.881698,-0.032629,-0.496886,0.291179,1.319044,0.654492,-1.208187,-1.091208,0.219949,-1.102539,-1.453342,-0.820112,0.648303,-0.033811,0.357178,-0.980921,0.272591,0.509331,0.432821,0.132736,0.436958,0.74148,-0.747323,-0.564711,0.278564,-0.421828,-1.284811,-0.700534,-0.272192,0.627649,-0.592659,0.329186,0.197145,-0.274621,0.049991,-0.03342,0.042251,-2.118959,-0.200971,-2.239862,-1.242196,-0.266925,0.032143,-0.891827,0.306509,-0.243898,0.16038,0.609823,-0.991466,-0.909515,-1.146091,0.12665,-1.028737,-0.066545,-0.718151,-0.434228,0.492398,0.79768,-0.826412,0.197874,-0.67365,0.193118,-0.959917,0.737309,-0.234122,1.205079,0.540043,-2.271901,-1.409477,-0.37578,-1.560856,0.569824,-0.422254,-1.804194,0.382448,-0.785641,0.077041,-0.998065,-0.134227,-1.060946,0.401295,-0.169272,-1.02835,-0.994981,0.306605,-0.294275,-0.964282,Cancer
-1.339006,0.958391,1.391185,-1.116686,-0.661069,-0.07887,0.029323,0.409027,0.127601,-0.441362,-0.507968,-0.630539,-0.947305,-0.913638,-0.151718,-1.20267,-0.05182,-1.130178,0.179941,-1.755503,-0.598947,0.650756,-1.418126,0.44029,-1.349504,0.386166,-0.9242,0.432762,-1.082134,-0.550091,-1.309077,0.909812,0.230765,-0.137145,-1.07962,0.111852,1.43466,0.670224,-0.125121,-0.404596,0.160086,0.940388,0.235425,-0.194416,-0.00182,-0.285347,-0.173417,-0.056747,0.74601,0.137877,0.148153,-0.793923,-0.317892,-0.567165,0.595925,-0.781654,0.1388,-0.051279,-0.117806,-0.822136,0.129632,-0.992086,0.493295,-0.778075,1.285921,-0.450654,0.548655,0.030924,-0.070562,-0.239117,-0.214642,-0.468062,-0.265404,-0.029089,-0.27221,-0.135959,-0.372664,-0.210742,-0.17703,-0.981191,-0.079127,-0.638334,-1.158476,0.209373,0.610119,-0.724724,0.621639,0.19174,-0.955536,-0.665739,-0.570416,-0.978904,-0.094721,-0.125194,0.909993,0.48699,-0.102332,-0.838331,-0.279937,-0.338826,-0.27786,-0.346479,0.122531,0.283938,0.417479,0.381565,0.111444,-0.875881,-1.003008,-0.205657,-0.576917,0.112059,-0.06896,0.500766,0.677966,0.79768,-0.395997,1.490006,-0.261546,-0.715325,1.096687,-1.285694,0.063399,0.433569,0.540043,-0.044327,-0.699682,-0.018123,-0.40605,-1.257681,0.032324,-0.203957,-0.486567,0.337098,-0.633074,-0.189938,-0.632434,-0.291251,1.456267,-1.48462,-0.465466,-0.096058,-0.13726,0.518891,-0.482816,Cancer
1.042581,-0.458317,-0.387523,0.992688,0.481164,2.264708,1.750834,1.235039,-0.482589,1.81,0.121535,1.606149,1.520149,1.664166,-0.089696,0.636131,-0.068143,1.295788,-0.160927,1.531306,0.109266,1.345434,1.540322,0.0258,-0.55145,-0.417266,-0.455245,0.390633,1.942625,-1.052138,1.056058,0.909812,0.925867,1.307094,2.265714,-0.462551,-0.925106,-1.312896,-0.672065,0.174851,1.059211,-0.047369,-0.352061,0.344866,0.940787,0.138304,1.532458,0.901371,-0.811868,-1.382003,-0.549746,0.777147,1.284974,1.909906,0.595925,1.553369,0.880017,1.538707,0.919612,-0.412092,0.301196,0.653996,0.118365,1.658614,1.285921,3.084689,0.5698,1.237732,0.152044,1.015163,0.909132,3.212973,2.028919,1.115568,2.596187,0.509331,1.123635,-0.212801,0.541347,-1.494084,2.087065,1.036786,0.70455,1.131883,1.169032,1.876786,-0.16293,1.100251,1.808078,2.095087,2.336335,1.411509,-0.352424,0.545164,0.465356,1.483782,-0.768909,-0.277275,0.948349,0.797814,1.660949,3.013388,-1.100384,1.613512,0.712509,0.146743,0.259605,1.992181,2.06506,0.566821,1.616385,0.404522,0.298695,0.179937,-0.461562,0.79768,0.403382,-0.161068,1.088759,0.320805,0.124445,-0.068955,1.079023,0.600324,0.540043,1.896627,0.529334,1.276617,1.022799,0.569824,1.659397,2.133932,0.399104,0.98793,0.242673,0.523103,0.707855,-0.008147,-1.045239,1.84403,0.394194,1.198436,-0.240971,-0.610075,1.278176,Cancer
0.981066,-1.550468,1.631485,0.229529,0.613746,1.168294,0.147238,-1.57366,0.246976,1.270117,-0.106784,0.023249,0.195416,0.072714,0.35734,-0.215464,-0.048586,0.09194,0.198291,0.13024,1.19838,-0.850017,0.579758,-0.33346,1.302331,0.00164,-1.860372,-0.518549,-0.177099,1.078547,0.390587,0.909812,0.679569,0.912108,0.495469,0.529318,0.28363,1.123547,0.568714,-0.804472,0.378284,1.476455,0.39311,0.021759,-0.591643,0.139464,-0.473118,0.719858,-0.369388,0.030253,0.593708,-0.193842,0.546365,0.746193,0.595925,1.481178,0.187055,0.057598,0.2783,1.638464,0.872162,-0.164758,0.341048,0.75356,0.116569,0.103837,0.019148,0.04862,0.106015,0.204607,-1.453394,-0.340545,0.564639,0.315947,0.081836,0.509331,0.633001,-0.078649,-0.152345,1.112978,0.177098,0.721948,-0.81908,0.868074,-0.692939,0.593563,0.236936,-0.296438,-1.857111,0.12624,0.865174,0.521062,-0.045389,0.86806,-0.081017,0.757207,0.494366,0.686756,0.59649,1.362775,-0.884043,-0.727357,0.99945,0.612078,-0.091976,-0.418327,-0.297576,0.255316,0.568372,-0.266008,0.87116,1.347366,-0.319058,1.371418,-0.755443,0.79768,-0.620233,-0.802593,0.583993,0.185779,0.452525,-1.732598,0.433271,0.063542,0.540043,0.119912,-0.160424,0.104389,0.227375,0.569824,-0.137189,0.924272,0.051562,0.066773,0.19971,-0.760196,0.21651,-1.140734,-0.419003,-0.170192,0.01571,0.71011,0.795664,-0.340843,1.519477,Cancer
0.716054,-1.731209,-1.533483,0.785092,0.554527,-0.014008,0.368861,0.995238,0.36656,-0.354387,-1.468335,1.078397,0.329329,-0.794698,-1.31289,-1.536629,1.093063,1.352986,-0.48681,1.505362,0.751377,1.181345,-0.938333,0.011432,-1.824239,-0.962851,0.050849,-1.391227,-1.045899,-0.5103,1.056058,0.909812,0.904084,0.653529,-0.468951,0.414162,-1.145403,-0.001714,0.40151,-2.398849,0.764786,1.480583,-1.96565,0.682724,0.660212,-0.820058,0.749699,1.597035,1.020213,-0.247153,-0.449795,0.311048,-1.170245,0.507615,0.595925,1.670777,1.693066,1.382267,0.41945,1.89915,0.367194,-0.793055,-1.02364,1.511207,0.025135,-0.659152,1.008515,-0.5337,-1.155793,1.69025,-1.36874,0.163916,0.43144,-0.521231,0.437009,0.509331,2.184673,-0.69579,-0.426374,-1.814889,0.401735,1.498704,1.956351,0.942248,1.005866,-1.118253,1.379585,0.916737,0.8645,0.544595,0.519399,2.107499,0.308861,1.202165,0.416237,-0.846157,1.997675,-1.451177,2.060542,1.527448,-0.289056,0.86123,-0.216788,1.063729,1.360129,2.050376,0.728823,0.36305,0.677227,-0.357763,1.22122,0.582597,1.168808,1.492938,-2.363972,0.79768,-1.720975,0.717182,1.846737,1.357806,1.357505,-0.983075,0.514614,0.613781,0.540043,0.611279,0.358134,1.101337,1.302628,0.569824,0.87101,0.444018,0.788709,0.494751,0.633908,-0.418033,0.459932,0.160448,-0.367014,0.807842,0.946371,0.702249,1.626224,-0.010197,1.611111,Cancer
-0.749331,0.6076,1.201085,-0.104041,-0.509377,0.558332,-0.397731,-0.480984,2.500293,0.502304,0.094649,-0.293493,0.047309,0.976336,0.194835,-0.402182,-0.142508,-0.014087,0.225759,-1.7003,-0.015924,-0.218869,1.697945,-0.942973,0.324591,0.783222,-0.165808,1.251933,-0.243915,-0.913029,0.431568,-1.425548,-0.391703,0.690243,-1.758638,0.467849,1.575882,1.211997,1.06743,-0.367661,0.42501,0.697908,-1.502883,-0.017718,0.238189,0.137255,0.60767,0.566873,0.267833,-0.3623,0.687929,0.691498,0.366079,-0.385679,0.595925,0.030059,0.191359,0.370929,-0.540832,-1.849083,0.118507,0.890094,-0.912113,1.121838,-1.559617,0.267463,0.344484,-0.226398,0.112791,0.680802,-0.60318,0.492925,-0.86308,-0.296792,0.678658,0.509331,-0.268652,1.906597,1.846184,0.33453,0.664322,0.518275,-0.852733,0.550859,-1.052326,0.480195,0.46545,0.39206,-0.159299,0.661894,-0.073132,1.135023,-0.191626,-0.520969,-0.175878,-0.626344,0.202002,0.501424,-0.186375,0.390868,0.334456,0.880304,1.298549,0.142845,0.115389,-0.408786,-0.746741,0.741008,0.727013,1.509805,-0.186493,0.70347,-0.719523,0.314936,0.339382,0.51699,-0.119282,-0.767069,1.073987,-1.218021,-1.340111,-0.173933,-0.258135,0.612693,0.540043,0.389273,-0.840992,0.815295,-0.217582,0.569824,0.107857,-0.303057,1.110602,-0.189246,-0.136681,0.229811,0.663058,0.044785,-1.02939,-0.559394,0.190254,-0.575278,1.197163,1.391914,1.597103,Cancer
