rank	   KS	accession	description
----------------------------------------------------------------------------------------------------------------------
1	70163	AB000584_at	Prostate differentiation factor mRNA
2	69860	U65579_at	"Mitochondrial NADH dehydrogenase-ubiquinone Fe-S protein 8, 23 kDa subunit precursor (NDUFS8) nuclear mRNA encoding mitochondrial protein"
3	69008	M33336_at	PRKAR1A CAMP-dependent protein kinase regulatory subunit type I
4	68683	U66711_rna1_s_at	Ly-6-related protein (9804) gene
5	68642	L03411_s_at	RD Radin blood group
6	68411	U50733_at	Dynamitin mRNA
7	68306	U64444_at	Ubiquitin fusion-degradation protein (UFD1L) mRNA
8	67980	L48513_at	Paraoxonase (PON2) mRNA
9	67823	X99728_at	"GB DEF = NDUFV3 gene, exon 3"
10	67571	X64330_at	ATP-citrate lyase
11	67434	D14658_at	KIAA0102 gene
12	67433	Z23090_at	HSPB1 Heat shock 27kD protein 1
13	67403	J05249_at	RPA2 Replication protein A2 (32kD)
14	67361	U30888_at	TRNA-guanine transglycosylase mRNA
15	67308	U16660_at	Peroxisomal enoyl-CoA hydratase-like protein (HPXEL) mRNA
16	67244	M94856_at	"FATTY ACID-BINDING PROTEIN, EPIDERMAL"
17	67203	M29536_at	Translational initiation factor 2 beta subunit (elF-2-beta) mRNA
18	67109	U29171_at	"CSNK1D Casein kinase 1, delta"
19	67067	X57398_at	"NME1 Non-metastatic cells 1, protein (NM23A) expressed in"
20	67056	X75593_at	Rab 13
21	67025	U62317_rna3_at	Choline kinase isolog 384D8_3 gene extracted from Chromosome 22q13 BAC Clone CIT987SK-384D8 complete sequence
22	66909	M13955_at	"Mesothelial keratin K7 (type II) mRNA, 3' end"
23	66877	L16842_at	UQCRC1 Ubiquinol-cytochrome c reductase core protein I
24	66804	M64992_at	PSMA2 Proteasome component C2
25	66720	U77948_at	"KAI1 Kangai 1 (suppression of tumorigenicity 6, prostate; CD82 antigen (R2 leukocyte antigen, antigen detected by monoclonal and antibody IA4))"
26	66710	D13630_at	KIAA0005 gene
27	66646	Y00486_rna1_at	Adenine phosphoribosyltransferase (aprt) gene extracted from Human APRT gene for adenine phosphoribosyltransferase
28	66636	S78187_at	M-PHASE INDUCER PHOSPHATASE 2
29	66615	M91670_at	Ubiquitin carrier protein (E2-EPF) mRNA
30	66614	U90313_at	Glutathione-S-transferase homolog mRNA
31	66551	AF006084_at	Arp2/3 protein complex subunit p41-Arc (ARC41) mRNA
