@relation 'Leukemia-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N5-F2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R3,5,11,22,25,28,29,33,39,48,51,54,55,65,66,69,78,81,89,106,115,126,127,135,136,138,146,152,174,185,204,205,226,240,246,252,266,273,278,284,285,286,294,296,298,300,309,314,316,320,323,326,327,328,331,332,338,340,344,358,360,362,369,383,390,396,402,404,408,418,420,421,426,427,429,433,466,469,471,481,495,513,528,531,540,542,543,544,545,548,550,553,555,563,565,571,574,578,581,593,595,598,628,634,636,651,679,686,696,701,702,704,720,740,746,763,770,773,777,793,795,809,821,825,834,835,838,840,842,856,857,860,865,867,868,872,875,878,882,885,886,887,890,897,899,902,906,922,928,937,940,942,946,949,959,960,963,967,969,973,974,976,983,989,991,992,997,1007,1018,1037,1054,1057,1058,1077,1082,1087,1088,1101,1113,1125,1130,1150,1167,1176,1178,1181,1183,1194,1209,1212,1215,1218,1219,1220,1221,1233,1236,1244,1246,1247,1250,1257,1261,1272,1280,1284,1286,1293,1301,1324,1328,1333,1343,1346,1359,1368,1371,1376,1379,1383,1385,1394,1409,1413,1421,1422,1426,1429,1446,1447,1457,1460,1464,1476,1493,1496,1500,1502,1523,1525,1539,1548,1554,1562,1564,1572,1576,1583,1586,1595,1614,1620,1636,1644,1648,1659,1660,1662,1670,1676,1683,1699,1701,1716,1717,1718,1725,1726,1736,1739,1748,1761,1778,1790,1791,1792,1795,1797,1805,1809,1812,1821,1827,1828,1832,1834,1848,1864,1866,1867,1868,1869,1875,1878,1882,1894,1902,1904,1905,1906,1910,1913,1920,1922,1927,1933,1951,1952,1953,1954,1955,1961,1966,1971,1972,1973,1977,1978,1987,1995,1996,1997,2004,2026,2036,2056,2057,2059,2065,2069,2073,2077,2081,2086,2090,2099,2106,2107,2151,2152,2155,2156,2159,2163,2167,2171,2172,2177,2178,2192,2197,2208,2209,2211,2219,2223,2226,2241,2242,2248,2254,2255,2260,2261,2277,2281,2282,2283,2295,2301,2307,2308,2309,2318,2320,2321,2325,2336,2341,2345,2349,2363,2375,2376,2386,2389,2390,2391,2392,2405,2421,2427,2432,2455,2456,2462,2470,2483,2489,2504,2505,2507,2523,2528,2529,2533,2537,2538,2544,2546,2551,2568,2574,2578,2579,2583,2587,2588,2589,2590,2608,2612,2618,2630,2637,2641,2645,2675,2680,2683,2690,2701,2702,2709,2735,2736,2744,2749,2758,2774,2775,2777,2785,2786,2787,2792,2823,2827,2843,2864,2870,2873,2900,2901,2903,2905,2909,2914,2919,2921,2922,2930,2933,2937,2946,2952,2958,2961,2970,2979,2984,2986,3003,3015,3024,3027,3031,3032,3034,3039,3050,3053,3058,3060,3061,3071,3075,3076,3085,3107,3110,3116,3120,3130,3135,3138,3139,3144,3157,3162,3163,3171,3187,3188,3189,3199,3205,3211,3215,3216,3218,3224,3245,3246,3251,3252,3253,3267,3270,3272,3274,3277,3285,3287,3288,3289,3290,3291,3295,3297,3301,3307,3312,3318,3319,3323,3332,3340,3342,3347,3348,3349,3356,3359,3374,3381,3404,3421,3438,3442,3446,3478,3479,3481,3483,3489,3510,3513,3514,3522,3526,3528,3536,3558,3559,3562,3580,3596,3608,3613,3617,3626,3628,3629,3631,3635,3639,3640,3644,3646,3650,3653,3655,3668,3669,3680,3684,3704,3720,3723,3738,3747,3751,3764,3772,3775,3780,3792,3795,3798,3803,3811,3812,3816,3818,3819,3822,3824,3827,3831,3836,3840,3845,3847,3853,3856,3861,3862,3865,3867,3874,3879,3887,3896,3897,3900,3931,3936,3940,3942,3944,3949,3959,3960,3962,3969,3971,3979,3981,3991,3995,4005,4019,4024,4033,4064,4068,4072,4075,4080,4083,4088,4089,4090,4099,4100,4101,4128,4131,4133,4152,4154,4175,4200,4205,4210,4212,4219,4229,4232,4233,4234,4241,4263,4271,4294,4297,4305,4308,4309,4313,4315,4316,4327,4337,4341,4351,4352,4362,4364,4368,4371,4373,4380,4381,4387,4401,4405,4412,4419,4420,4426,4428,4435,4437,4443,4445,4451,4453,4456,4457,4458,4466,4471,4476,4483,4489,4492,4497,4500,4501,4504,4523,4530,4537,4549,4552,4559,4561,4570,4571,4580,4581,4588,4594,4599,4620,4623,4631,4638,4644,4660,4661,4664,4665,4668,4674,4679,4682,4683,4688,4713,4716,4727,4732,4733,4738,4739,4742,4752,4757,4767,4768,4771,4773,4785,4786,4789,4790,4791,4793,4802,4806,4837,4846,4850,4866,4868,4871,4873,4878,4885,4890,4894,4904,4910,4918,4919,4923,4928,4930,4937,4946,4953,4954,4957,4958,4962,4963,4968,4975,4992,4993,4996,5001,5003,5009,5010,5018,5025,5031,5037,5038,5045,5049,5059,5064,5066,5070,5071,5083,5084,5086,5089,5108,5112,5113,5127,5148,5150,5159,5160,5173,5175,5184,5191,5192,5194,5200,5207,5216,5221,5230,5236,5240,5245,5249,5255,5267,5270,5276,5314,5315,5325,5330,5345,5352,5356,5362,5368,5370,5378,5389,5393,5398,5406,5419,5420,5435,5439,5450,5451,5459,5460,5463,5470,5472,5479,5480,5485,5489,5494,5506,5523,5526,5529,5537,5540,5542,5544,5548,5551,5556,5564,5583,5586,5592,5602,5615,5619,5630,5631,5633,5637,5649,5650,5653,5658,5689,5690,5693,5699,5700,5702,5706,5716,5717,5722,5725,5729,5740,5744,5745,5750,5752,5753,5755,5758,5759,5763,5765,5776,5778,5782,5787,5788,5789,5791,5794,5799,5812,5814,5821,5826,5843,5844,5856,5859,5902,5905,5906,5916,5918,5921,5922,5924,5932,5939,5943,5951,5956,5968,5971,5974,5977,5981,6000,6001,6009,6010,6015,6023,6028,6056,6077,6085,6098,6102,6105,6108,6110,6115,6117,6120,6129,6136,6148,6152,6153,6157,6158,6164,6165,6171,6178,6188,6211,6213,6215,6222,6224,6236,6242,6243,6247,6252,6261,6264,6270,6272,6277,6279,6283,6294,6296,6301,6307,6316,6321,6343,6345,6348,6361,6364,6368,6369,6392,6393,6395,6421,6428,6436,6443,6445,6452,6455,6460,6462,6465,6466,6471,6476,6486,6488,6490,6501,6507,6515,6521,6534,6540,6544,6545,6547,6553,6555,6567,6568,6586,6590,6592,6606,6607,6609,6616,6623,6624,6629,6641,6648,6649,6651,6655,6658,6667,6683,6686,6697,6701,6707,6709,6713,6721,6726,6731,6735,6736,6758,6760,6761,6762,6776,6778,6784,6786,6788,6791,6798,6803,6810,6819,6821,6822,6827,6828,6830,6845,6856,6878,6883,6887,6890,6895,6897,6906,6910,6912,6915,6920,6924,6938,6944,6946,6962,6968,6970,6979,6982,6987,6990,6995,7009,7013,7014,7028,7031,7037,7053,7062,7063,7064,7071,7077,7093,7098,7101,7108,7120,7123,7127,7130-weka.filters.unsupervised.attribute.Remove-V-R516,295,931,267,359,286,382,741,233,1018,998,612,369,622,88,717,1041,44,410,575,1090,1013,701,760,765,722,188,306,614,305,1151'

@attribute U46499_at numeric
@attribute M27891_at numeric
@attribute X06182_s_at numeric
@attribute M14636_at numeric
@attribute M80254_at numeric
@attribute M23197_at numeric
@attribute M93056_at numeric
@attribute X80230_at numeric
@attribute L31860_at numeric
@attribute M86933_at numeric
@attribute M19267_s_at numeric
@attribute U82321_at numeric
@attribute M85169_at numeric
@attribute U85946_at numeric
@attribute D64154_at numeric
@attribute X69819_at numeric
@attribute U09087_s_at numeric
@attribute D25217_at numeric
@attribute S82470_at numeric
@attribute U70063_at numeric
@attribute L11672_r_at numeric
@attribute M65214_s_at numeric
@attribute X65633_at numeric
@attribute X87613_at numeric
@attribute X90568_at numeric
@attribute X70683_at numeric
@attribute L02932_at numeric
@attribute M31627_at numeric
@attribute U82759_at numeric
@attribute M31210_at numeric
@attribute CLASS {ALL,AML}

@data
0.034033,0.012331,0.066516,0.048085,0.150415,0.105194,0.336981,0.071837,0.483333,0.457627,0.345865,0.285714,0.696165,0.443207,0.189189,0.263326,0.048991,0.459124,0.19056,0.270466,0.774644,0.631813,0.360335,0.330317,1,0.10932,0.804255,0.785114,0.221887,0.112266,ALL
0.016221,0.01274,0.018552,0.108394,0.10166,0.021696,0.061848,0.711837,0,1,0.06015,0.379464,0.116028,0.285078,0,0.016702,0.126801,0.367883,0.043008,0.049741,0.190753,0.234705,0.24581,0.588235,0.123457,0.912444,0,0.344865,0.205283,0.039501,ALL
0.020356,0.024251,0.042534,0.020375,0.136929,0.04931,0.092899,0.804898,0.494444,0.638418,0.338346,0.558036,0.080629,0.164811,0.047695,0.094527,0,0.694161,0.078959,0.064249,0,0.044494,0.692737,1,0.847737,0,0.893617,0.045316,0.148679,0.049896,ALL
0.022583,0.002745,0.030769,0.05705,0.348548,0.110454,0.316875,1,0.488889,0.564972,0.255639,0.647321,1,0.835189,0.321145,0.38344,0.634006,0.241606,0.021614,0.097409,0.147136,0.847608,1,0.828054,0.469136,0.785679,1,0.529663,0.433962,0.176715,ALL
0.058206,0.065176,0.018552,0.052975,0.216805,0.011177,0.270807,0.233469,0.155556,0.293785,0.432331,0.482143,0.452311,0.360802,0.786963,0.851102,0.270893,0.320438,0.066828,0.201036,1,0.517241,0.916201,0.38914,0.395062,0.825719,0.8,0.92898,0.259623,1,ALL
0.045165,0,0.039367,0.025265,0.023859,0,0.160601,0.539592,0.133333,0.457627,0.033835,0,0.274336,0.296214,0.672496,0,0.449568,0.535036,0.072342,0.093264,0.322187,1,0.631285,0.705882,0.440329,0.12012,0.919149,0.102449,0.725283,0.002079,ALL
0.022265,0.013928,0,0.166259,0.380705,0.133465,0.217613,0,0.205556,0.350282,0.24812,0.602679,0.211406,0,0.08744,0.210377,0.14121,0.19927,0.103661,0.116062,0.086653,0,0.594972,0.122172,0.304527,0.266489,0.451064,0.086125,0.181887,0.130977,ALL
1,0.024907,1,1,0.294606,0.132807,1,0.401633,0.216667,0.214689,0.203008,0.65625,0.064897,1,1,0.418621,1,0.515328,1,0.18342,0.817389,0.515017,0.201117,0.276018,0.08642,0.260342,0.574468,1,0,0.2079,ALL
0,0.005366,0.015837,0.00815,0.079876,0.026298,0.048358,0.330612,0.138889,0.299435,0.041353,0.46875,0.19764,0.126949,0.012719,0.03838,0.121037,0.332117,0,0,0.317243,0.314794,0.435754,0.244344,0,0.561721,0.782979,0.155561,0.291321,0.33264,ALL
0.048028,0.010938,0.032127,0.026895,0,0,0,0.443265,0.316667,0,0,1,0.084562,0.327394,0.18601,0.261905,0.435159,0,0.078518,0.102591,0.376272,0.830923,0,0.140271,0.131687,0.381459,0.102128,0,0.029434,0.066528,ALL
0.368321,1,0.029412,0.327628,0.001037,1,0.250954,0.191837,0.455556,0.389831,0.421053,0.34375,0.543756,0.327394,0.623211,1,0.239193,0.308029,0.445082,1,0.108462,0.206897,0.578212,0.674208,0.131687,0.044692,0.451064,0.089049,0.663396,0,AML
0.403944,0.886363,0.144796,0.054605,0.482365,0.450362,0.22423,0.362449,0.366667,0.768362,0.011278,0.741071,0.198623,0.365256,0.872814,0.144989,0.0317,0.633577,0.513674,0.076684,0.344286,0.818687,0.865922,0.38914,0.288066,1,0.544681,0.115483,0.396981,0.363825,AML
0.077926,0.0535,0.276923,0.107579,0.490664,0.152531,0.275643,0.147755,0.544444,0.440678,0.274436,0.147321,0.26942,0.423163,0.012719,0.530561,0.29683,0.859124,0.294663,0.135751,0.10032,0.348165,0.905028,0,0.427984,0.342083,0.617021,0.06968,0.790943,0.074844,AML
0.548982,0.159231,0.080995,0.286879,1,0.236029,0.791805,0.126531,0.283333,0.576271,0.37218,0.803571,0.078663,0.770601,0.489666,0.148543,0.034582,1,0.401191,0.348187,0.710381,0.388209,0.432961,0.099548,0.255144,0.230271,0.548936,0.176392,1,0.066528,AML
0.195293,0.077588,0.091855,0,0.422199,0.125575,0.092899,0.047347,1,0.045198,1,0.276786,0,0.387528,0.027027,0.167733,0.129683,0.30219,0.227172,0.14715,0.253853,0.481646,0.416201,0.927602,0.045267,0.419837,0.72766,0.123645,0.678491,0.045738,AML
