@relation 'Leukemia-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N5-F2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R3,5,11,22,25,28-29,33,39,48,51,54-55,65-66,69,78,81,89,106,115,126-127,135-136,138,146,152,174,185,204-205,226,240,246,252,266,273,278,284-286,294,296,298,300,309,314,316,320,323,326-328,331-332,338,340,344,358,360,362,369,383,390,396,402,404,408,418,420-421,426-427,429,433,466,469,471,481,495,513,528,531,540,542-545,548,550,553,555,563,565,571,574,578,581,593,595,598,628,634,636,651,679,686,696,701-702,704,720,740,746,763,770,773,777,793,795,809,821,825,834-835,838,840,842,856-857,860,865,867-868,872,875,878,882,885-887,890,897,899,902,906,922,928,937,940,942,946,949,959-960,963,967,969,973-974,976,983,989,991-992,997,1007,1018,1037,1054,1057-1058,1077,1082,1087-1088,1101,1113,1125,1130,1150,1167,1176,1178,1181,1183,1194,1209,1212,1215,1218-1221,1233,1236,1244,1246-1247,1250,1257,1261,1272,1280,1284,1286,1293,1301,1324,1328,1333,1343,1346,1359,1368,1371,1376,1379,1383,1385,1394,1409,1413,1421-1422,1426,1429,1446-1447,1457,1460,1464,1476,1493,1496,1500,1502,1523,1525,1539,1548,1554,1562,1564,1572,1576,1583,1586,1595,1614,1620,1636,1644,1648,1659-1660,1662,1670,1676,1683,1699,1701,1716-1718,1725-1726,1736,1739,1748,1761,1778,1790-1792,1795,1797,1805,1809,1812,1821,1827-1828,1832,1834,1848,1864,1866-1869,1875,1878,1882,1894,1902,1904-1906,1910,1913,1920,1922,1927,1933,1951-1955,1961,1966,1971-1973,1977-1978,1987,1995-1997,2004,2026,2036,2056-2057,2059,2065,2069,2073,2077,2081,2086,2090,2099,2106-2107,2151-2152,2155-2156,2159,2163,2167,2171-2172,2177-2178,2192,2197,2208-2209,2211,2219,2223,2226,2241-2242,2248,2254-2255,2260-2261,2277,2281-2283,2295,2301,2307-2309,2318,2320-2321,2325,2336,2341,2345,2349,2363,2375-2376,2386,2389-2392,2405,2421,2427,2432,2455-2456,2462,2470,2483,2489,2504-2505,2507,2523,2528-2529,2533,2537-2538,2544,2546,2551,2568,2574,2578-2579,2583,2587-2590,2608,2612,2618,2630,2637,2641,2645,2675,2680,2683,2690,2701-2702,2709,2735-2736,2744,2749,2758,2774-2775,2777,2785-2787,2792,2823,2827,2843,2864,2870,2873,2900-2901,2903,2905,2909,2914,2919,2921-2922,2930,2933,2937,2946,2952,2958,2961,2970,2979,2984,2986,3003,3015,3024,3027,3031-3032,3034,3039,3050,3053,3058,3060-3061,3071,3075-3076,3085,3107,3110,3116,3120,3130,3135,3138-3139,3144,3157,3162-3163,3171,3187-3189,3199,3205,3211,3215-3216,3218,3224,3245-3246,3251-3253,3267,3270,3272,3274,3277,3285,3287-3291,3295,3297,3301,3307,3312,3318-3319,3323,3332,3340,3342,3347-3349,3356,3359,3374,3381,3404,3421,3438,3442,3446,3478-3479,3481,3483,3489,3510,3513-3514,3522,3526,3528,3536,3558-3559,3562,3580,3596,3608,3613,3617,3626,3628-3629,3631,3635,3639-3640,3644,3646,3650,3653,3655,3668-3669,3680,3684,3704,3720,3723,3738,3747,3751,3764,3772,3775,3780,3792,3795,3798,3803,3811-3812,3816,3818-3819,3822,3824,3827,3831,3836,3840,3845,3847,3853,3856,3861-3862,3865,3867,3874,3879,3887,3896-3897,3900,3931,3936,3940,3942,3944,3949,3959-3960,3962,3969,3971,3979,3981,3991,3995,4005,4019,4024,4033,4064,4068,4072,4075,4080,4083,4088-4090,4099-4101,4128,4131,4133,4152,4154,4175,4200,4205,4210,4212,4219,4229,4232-4234,4241,4263,4271,4294,4297,4305,4308-4309,4313,4315-4316,4327,4337,4341,4351-4352,4362,4364,4368,4371,4373,4380-4381,4387,4401,4405,4412,4419-4420,4426,4428,4435,4437,4443,4445,4451,4453,4456-4458,4466,4471,4476,4483,4489,4492,4497,4500-4501,4504,4523,4530,4537,4549,4552,4559,4561,4570-4571,4580-4581,4588,4594,4599,4620,4623,4631,4638,4644,4660-4661,4664-4665,4668,4674,4679,4682-4683,4688,4713,4716,4727,4732-4733,4738-4739,4742,4752,4757,4767-4768,4771,4773,4785-4786,4789-4791,4793,4802,4806,4837,4846,4850,4866,4868,4871,4873,4878,4885,4890,4894,4904,4910,4918-4919,4923,4928,4930,4937,4946,4953-4954,4957-4958,4962-4963,4968,4975,4992-4993,4996,5001,5003,5009-5010,5018,5025,5031,5037-5038,5045,5049,5059,5064,5066,5070-5071,5083-5084,5086,5089,5108,5112-5113,5127,5148,5150,5159-5160,5173,5175,5184,5191-5192,5194,5200,5207,5216,5221,5230,5236,5240,5245,5249,5255,5267,5270,5276,5314-5315,5325,5330,5345,5352,5356,5362,5368,5370,5378,5389,5393,5398,5406,5419-5420,5435,5439,5450-5451,5459-5460,5463,5470,5472,5479-5480,5485,5489,5494,5506,5523,5526,5529,5537,5540,5542,5544,5548,5551,5556,5564,5583,5586,5592,5602,5615,5619,5630-5631,5633,5637,5649-5650,5653,5658,5689-5690,5693,5699-5700,5702,5706,5716-5717,5722,5725,5729,5740,5744-5745,5750,5752-5753,5755,5758-5759,5763,5765,5776,5778,5782,5787-5789,5791,5794,5799,5812,5814,5821,5826,5843-5844,5856,5859,5902,5905-5906,5916,5918,5921-5922,5924,5932,5939,5943,5951,5956,5968,5971,5974,5977,5981,6000-6001,6009-6010,6015,6023,6028,6056,6077,6085,6098,6102,6105,6108,6110,6115,6117,6120,6129,6136,6148,6152-6153,6157-6158,6164-6165,6171,6178,6188,6211,6213,6215,6222,6224,6236,6242-6243,6247,6252,6261,6264,6270,6272,6277,6279,6283,6294,6296,6301,6307,6316,6321,6343,6345,6348,6361,6364,6368-6369,6392-6393,6395,6421,6428,6436,6443,6445,6452,6455,6460,6462,6465-6466,6471,6476,6486,6488,6490,6501,6507,6515,6521,6534,6540,6544-6545,6547,6553,6555,6567-6568,6586,6590,6592,6606-6607,6609,6616,6623-6624,6629,6641,6648-6649,6651,6655,6658,6667,6683,6686,6697,6701,6707,6709,6713,6721,6726,6731,6735-6736,6758,6760-6762,6776,6778,6784,6786,6788,6791,6798,6803,6810,6819,6821-6822,6827-6828,6830,6845,6856,6878,6883,6887,6890,6895,6897,6906,6910,6912,6915,6920,6924,6938,6944,6946,6962,6968,6970,6979,6982,6987,6990,6995,7009,7013-7014,7028,7031,7037,7053,7062-7064,7071,7077,7093,7098,7101,7108,7120,7123,7127,7130-weka.filters.unsupervised.attribute.Remove-V-R516,295,931,267,359,286,382,741,233,1018,998,612,369,622,88,717,1041,44,410,575,1090,1013,701,760,765,722,188,306,614,305,1151'

@attribute U46499_at numeric
@attribute M27891_at numeric
@attribute X06182_s_at numeric
@attribute M14636_at numeric
@attribute M80254_at numeric
@attribute M23197_at numeric
@attribute M93056_at numeric
@attribute X80230_at numeric
@attribute L31860_at numeric
@attribute M86933_at numeric
@attribute M19267_s_at numeric
@attribute U82321_at numeric
@attribute M85169_at numeric
@attribute U85946_at numeric
@attribute D64154_at numeric
@attribute X69819_at numeric
@attribute U09087_s_at numeric
@attribute D25217_at numeric
@attribute S82470_at numeric
@attribute U70063_at numeric
@attribute L11672_r_at numeric
@attribute M65214_s_at numeric
@attribute X65633_at numeric
@attribute X87613_at numeric
@attribute X90568_at numeric
@attribute X70683_at numeric
@attribute L02932_at numeric
@attribute M31627_at numeric
@attribute U82759_at numeric
@attribute M31210_at numeric
@attribute CLASS {ALL,AML}

@data
0.054719,0.015507,0.210859,0.10559,0.075962,0.060452,0.052077,0.318259,0.266667,0.595395,0.381517,0.651079,0,0.559796,0.640927,0.134179,0.290244,0.587709,0.122472,0.110729,0.440253,0.430957,0.531952,0.191892,0.718045,0.748321,0.667832,0.376542,0.097308,0.155172,ALL
0,0.043777,0.137626,0.259317,0.233654,0.041994,0.039789,0.333474,0.247312,0.203947,0.078199,0.546763,0.091912,0.521628,0.366795,0.227153,0.54878,0.107821,0.026425,0.032702,0.192728,0.454175,0.454231,0.821622,0.672932,0.201532,0.132867,0.559492,0.088337,0.193966,ALL
0.055026,0.038393,0.248737,0.177019,0.134615,0.162898,0.04252,0.655114,0.223656,0.332237,0.182464,0.366906,0.397794,0.015267,0.680824,0.248811,0.580488,0.082123,0.081112,0.055651,0.244111,1,0.105354,0.021622,0.827068,0.35407,0.723776,0.09347,0.05107,0.288793,ALL
0.027052,0.026875,0.215909,0.378882,0.415385,0.017074,0.627853,0.981403,0.280645,0.651316,0.274882,0.870504,0.627206,0.442748,0.53668,0.033281,0.682927,0.414525,0.269531,0.144005,0.186241,0.510387,0.426598,0.548649,0.654135,0.33697,0.188811,0.531076,0.31746,0.18319,ALL
0.040271,0.033855,0.243687,0.111801,0.121154,0.103369,0.043885,0.233728,0.153763,0.299342,0.388626,0.528777,0.269118,0.768448,0.405405,0.137348,0.934146,0.302235,0.141314,0.037866,0.82127,0.700204,0.310881,0.432432,0.528195,0.092635,0.332168,0.576058,0.322291,0.265086,ALL
0.029819,0.076984,0.191919,0.158385,0.25,0.009691,0.027111,0.087067,0.316129,0.259868,0.554502,0.453237,0.638971,0.496183,0.767053,0.269149,0.570732,0.088827,0.076746,0.113024,0.291738,0.483503,0.276339,0.22973,0.691729,0.321234,0.472028,0.009069,0.152519,0.3125,ALL
0.055334,0,0.20202,0.175466,0.244231,0.047531,0.193681,0.210904,0.302151,0.342105,0.241706,0.532374,0.707353,0.430025,0.619048,0.502905,0.278049,0.269832,0.121553,0.121056,0.622909,0.379226,0.602763,0.337838,0.62218,0.425409,0.461538,0.210157,0.26225,0.282328,ALL
0.035967,0.020542,0.198232,0.127329,0.223077,0.076142,0.099278,0.67202,0.239785,0.233553,0.35545,1,0.544118,0.605598,0.692407,0.129688,0.319512,0.792179,0.121324,0.135972,0.470126,0.596334,0.61658,0.710811,0.678571,0.248636,0.475524,0.209553,0.097308,0.284483,ALL
0.039348,0.012565,0.223485,0.231366,0.238462,0.04707,0.066316,0.065511,0.275269,0.335526,0.511848,0.410072,0.604412,0.012723,0,0.023772,0.080488,0.173743,0.078355,0.147447,0.831854,0.441548,0.521589,0.554054,0.595865,0.04081,0.367133,0.088996,0.153899,0.127155,ALL
0.048263,0.022038,0.145202,0.237578,0.224038,0.041994,0.052857,0.490279,0.225806,0.424342,0.319905,0.866906,0.413971,0.236641,0.148005,0.339144,0.326829,0.282123,0.244715,0.046472,0.577672,0.393075,0.55095,0.308108,0.704887,0.342321,0.555944,0.567836,0.091787,0.377155,ALL
1,0.02488,0.335859,0.506211,0.299038,0.225658,0.431246,0,0.156989,0.407895,0.327014,0.546763,0.191912,0.35369,1,0.361859,0.202439,0.364804,0.969439,0.107286,0.141174,0.397149,0.132988,0.148649,0.494361,0.365401,0.251748,0.209674,0.331953,0.155172,AML
0.076852,0.123604,0.468434,0.273292,0.525,0.140286,0.225083,0.038462,1,0.631579,1,0.370504,0.254412,0.099237,0.405405,0.403328,0.180488,0.53352,0,0.366609,0.033459,0.216293,0.326425,0.345946,0,0.189782,0.472028,0.083918,0.200828,0.275862,AML
0.416231,0.176705,0.420455,0.996894,0.243269,0.364559,0.400624,0.089603,0.246237,0.240132,0.405213,0.251799,0.175,0.025445,0.801802,0.488642,0.107317,0.496648,0.201976,0.174412,0.051383,0.119756,0.411054,0.221622,0.56015,0.035145,0.22028,0.109915,0.126984,0.241379,AML
0.078082,0.633975,0.157828,0.650621,0.800962,0.340102,0.208114,0.288673,0.270968,0.309211,0.535545,0.338129,0.233824,0.689567,0.593308,1,0.182927,0.622905,0.810202,0.455536,0.411062,0.456619,0.250432,0,0.716165,0.579522,0.255245,0.088634,0.798482,0.224138,AML
0.258223,0.681691,0.140152,0.284161,0.851923,0.171204,0.257461,0.090025,0.483871,0.197368,0.739336,0.255396,0.380147,0.552163,0.951094,0.20972,0.187805,1,0.159237,0.145152,0.075111,0.27332,0.16753,0.324324,0.520677,0.000734,0.255245,0.156953,0.606625,0.284483,AML
0.040578,0.012515,0.171717,0.254658,0.235577,0.016613,0.144139,0.323331,0.247312,0.450658,0.334123,0.683453,0.525735,0.221374,0.490347,0.00898,0.339024,0.613966,0.125,0.111302,0.168146,0.380041,0.469775,0.878378,0.640977,0.437998,0.643357,0.214148,0.187716,0.351293,ALL
0.022133,0.021191,0.234848,0.195652,0.269231,0,0.077823,0.237954,0.273118,0.430921,0.272512,0.467626,0.290441,0.279898,0.544402,0.05177,0.24878,0.169274,0.0625,0.059667,0.215944,0.287984,0.450777,0.675676,0.456767,0.678766,0.409091,0.421403,0.122153,0.258621,ALL
0.078082,0.04632,0.338384,0.263975,0.247115,0.099216,0.038619,0.314032,0.147312,0.036184,0.208531,0.546763,0.100735,0.409669,0.425997,0.019017,0.380488,0.542458,0.138787,0.083764,0.163878,0.489613,0.305699,0.467568,0.774436,0.05193,0.751748,0.313059,0,0.262931,ALL
0.039963,0.030664,0.190657,0.212733,0.209615,0.034149,0.052272,0.249366,0.321505,0.266447,0.327014,0.514388,0.175,0.24173,0.357786,0.158479,0.165854,0.152514,0.090303,0.133678,0.186753,0.731568,0.547496,0.410811,0.802632,0.409148,0.468531,0.092745,0.086266,0.334052,ALL
0.060559,0.031412,0.294192,0,0.154808,0.125519,0.039009,0.189349,0.219355,0,0.367299,0,0.896324,1,0.873874,0.153724,0.702439,0.552514,0.107767,0.114745,0.56999,0.578819,0.654577,0.505405,0.603383,0.399916,0.926573,0.023458,0.511387,0.69181,ALL
0.058715,0.006432,0.304293,0.121118,0,0.098754,0,0.30093,0.322581,0.375,0.2891,0.352518,0.201471,0.699746,0.3861,0.002377,0.468293,0.495531,0.143382,0.165806,0.846193,0.695316,0.28152,0.475676,0.671053,0.391523,0.538462,0.316687,0.222222,0.096983,ALL
0.045496,0.013911,0.228535,0.173913,0.273077,0.053069,0.10747,0.739222,0.225806,0.236842,0.364929,0.661871,0.755882,0.712468,0.033462,0.06392,0.75122,0.260894,0.168199,0.0786,0.614374,0.471283,0.369603,0.7,0.614662,0.460554,0.559441,0.984643,0.111111,0.243534,ALL
0.052874,0.019844,0.147727,0.195652,0.215385,0.047993,0.071582,0.054522,0.248387,0.328947,0.300948,0.683453,0.540441,0.587786,0.177606,0.414686,0.35122,0.364246,0.054688,0.081469,0.059065,0.535642,0.559585,0.337838,0.821429,0.180969,0.63986,0.116203,0.121463,0.372845,ALL
0.043037,0.039938,0.217172,0.217391,0.234615,0.032764,0.009557,0.091293,0.211828,0.009868,0.537915,0.248201,0.078676,0.318066,0.302445,0.096936,0.87561,0.269274,0.042969,0.10786,0.42506,0.455804,0.390328,0.559459,0.528195,0.367499,0.276224,0,0.303658,0.18319,ALL
0.481709,0.726416,0.438131,0.490683,0.306731,0.281034,0.268773,0.046492,0,0.664474,0,0.161871,0.210294,0.330789,0.80695,0.329371,0.046341,0.643575,0.32307,0.263339,0.001878,0.199593,0.568221,0.327027,0.56391,0.075535,0.541958,0.097461,0.285714,0.168103,AML
