@relation 'Leukemia-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R61,131,202,204,294,349,395,408,492,548,614,671,675,876,893,895,914,955,1049,1103,1376,1380,1425,1494,1581,1685,1696,1736,1794,1872,1892,1894,2069,2145,2168,2259,2584,2675,2690,2713,2715,2751,2846,2861,2880,2935,2972,2980,3058,3085,3128,3193,3196,3229,3240,3256,3283,3295,3302,3356,3390,3410,3454,3542,3581,3583,3698,3735,3792,3823,3856,3882,4012,4031,4050,4094,4112,4159,4168,4328,4361,4438,4539,4557,4561,4592,4601,4719,4721,4958,4994,5038,5078,5080,5124,5144,5149-5150,5214,5222,5276,5296,5387,5395,5439,5541,5544,5548,5656,5691-5692,5784,5862,5940,5950,5995,6000,6126,6187,6352,6404,6420,6427,6485,6506,6557,6579,6685,6694,6780,6830,6988,7002,7024,7064,7077,7130'

@attribute AB000114_at numeric
@attribute AF002700_at numeric
@attribute D13630_at numeric
@attribute D13634_at numeric
@attribute D25215_at numeric
@attribute D29958_at numeric
@attribute D38503_at numeric
@attribute D38751_at numeric
@attribute D50920_at numeric
@attribute D70830_at numeric
@attribute D83657_at numeric
@attribute D86970_at numeric
@attribute D86975_at numeric
@attribute HG2810-HT2921_at numeric
@attribute HG315-HT315_at numeric
@attribute HG3175-HT3352_at numeric
@attribute HG3400-HT3579_at numeric
@attribute HG3985-HT4255_at numeric
@attribute J00124_at numeric
@attribute J04101_at numeric
@attribute L19779_at numeric
@attribute L20010_at numeric
@attribute L25270_at numeric
@attribute L34820_at numeric
@attribute L40402_at numeric
@attribute M11722_at numeric
@attribute M13149_at numeric
@attribute M15656_at numeric
@attribute M20777_at numeric
@attribute M26880_at numeric
@attribute M28825_at numeric
@attribute M28827_at numeric
@attribute M59964_at numeric
@attribute M64098_at numeric
@attribute M65085_at numeric
@attribute M81757_at numeric
@attribute U01317_cds1_at numeric
@attribute U07695_at numeric
@attribute U08377_at numeric
@attribute U09564_at numeric
@attribute U09579_at numeric
@attribute U11870_rna1_at numeric
@attribute U17714_at numeric
@attribute U18288_at numeric
@attribute U19345_at numeric
@attribute U24152_at numeric
@attribute U27193_at numeric
@attribute U28043_at numeric
@attribute U33017_at numeric
@attribute U34879_rna1_at numeric
@attribute U37689_at numeric
@attribute U42031_at numeric
@attribute U42387_at numeric
@attribute U44378_at numeric
@attribute U45973_at numeric
@attribute U46689_at numeric
@attribute U48296_at numeric
@attribute U49070_at numeric
@attribute U49250_at numeric
@attribute U51711_at numeric
@attribute U53446_at numeric
@attribute U56244_at numeric
@attribute U58970_at numeric
@attribute U64444_at numeric
@attribute U66580_at numeric
@attribute U66615_at numeric
@attribute U75679_at numeric
@attribute U78524_at numeric
@attribute U79300_at numeric
@attribute U81600_at numeric
@attribute U83411_at numeric
@attribute U86136_at numeric
@attribute V01512_rna1_at numeric
@attribute X02404_at numeric
@attribute X03934_at numeric
@attribute X06745_at numeric
@attribute X07948_at numeric
@attribute X15187_at numeric
@attribute X15525_rna1_at numeric
@attribute X59417_at numeric
@attribute X61100_rna1_at numeric
@attribute X66401_cds1_at numeric
@attribute X74331_at numeric
@attribute X75546_at numeric
@attribute X75917_at numeric
@attribute X77533_at numeric
@attribute X78121_at numeric
@attribute X85133_at numeric
@attribute X85178_at numeric
@attribute Y07829_xpt3_at numeric
@attribute Y09858_at numeric
@attribute Y12556_at numeric
@attribute Z22534_at numeric
@attribute Z22536_at numeric
@attribute Z33905_at numeric
@attribute Z46788_at numeric
@attribute Z47553_at numeric
@attribute Z47727_at numeric
@attribute Z81326_at numeric
@attribute Z83804_at numeric
@attribute HG3859-HT4129_at numeric
@attribute L06133_at numeric
@attribute U17838_at numeric
@attribute U22815_at numeric
@attribute U96131_at numeric
@attribute Y00097_s_at numeric
@attribute X15331_s_at numeric
@attribute D10326_s_at numeric
@attribute D55643_s_at numeric
@attribute D89377_at numeric
@attribute D89377_s_at numeric
@attribute M58569_s_at numeric
@attribute U10687_s_at numeric
@attribute J02683_s_at numeric
@attribute M29610_s_at numeric
@attribute X52979_rna1_s_at numeric
@attribute J05016_rna1_s_at numeric
@attribute L40386_s_at numeric
@attribute M27396_s_at numeric
@attribute Z26491_s_at numeric
@attribute X59303_s_at numeric
@attribute S68134_s_at numeric
@attribute U24056_s_at numeric
@attribute U29943_s_at numeric
@attribute U22431_s_at numeric
@attribute U40846_s_at numeric
@attribute U52077_s_at numeric
@attribute X89101_s_at numeric
@attribute X86428_s_at numeric
@attribute U34301_r_at numeric
@attribute J00146_at numeric
@attribute U18934_at numeric
@attribute X12953_at numeric
@attribute U22028_at numeric
@attribute L76568_xpt3_f_at numeric
@attribute U03735_f_at numeric
@attribute CLASS {ALL,AML}

@data
0.37744,0.181202,0.069544,0.308824,0.657795,0.495272,0.634286,0.732211,0.411678,0.931545,0.066564,0.253185,0,0.041765,0.555128,0.435963,0.692503,1,0.130604,0.731479,0.93242,0.11746,0.299888,0.100529,0.429825,0.712796,0.632979,0.373095,0.017002,0.425434,0.114115,0.348961,0.330709,0.077754,0.545161,0.541542,0.389563,0.603058,0.4642,0.126007,0.296053,0.423191,0.1725,0.710891,0.680089,0.285714,0.308906,0.411437,0.374868,0.315353,0.690492,0.113583,0.362595,0.156334,0.167409,0.388688,0.263898,0.459045,0.34492,0.306306,0.498881,0.411579,0.634437,0.34491,0.383212,0.543088,0.023838,0.315113,0.651741,0.3079,0.660106,0.512635,0.503443,0.35082,0.026852,0.339161,0.351551,0.137974,0.535425,0.434454,0,0.44748,0,0.684994,0.138211,0.689826,0.723164,0.317544,0.475146,0.74294,0.319654,0.529889,0.821629,0.557793,0.756968,0.967742,0.264605,0.170299,0.204231,0.539823,0.693603,0.733333,0.576087,0.351852,0.566421,0.127714,0.694343,0.783885,1,0.400572,0.780415,0.482456,0.37451,0.172997,0.06801,0.239557,0.159707,0.14907,0.366374,0.066294,0.647878,0.269811,0.594203,0,0.284725,0.676275,0.213518,0.197351,0.550922,0.583333,0.660494,0.356209,0.310345,0.55984,0.047311,0.555992,ALL
0.468547,0.342054,0.035971,0.797794,0.602662,0.472813,0.331429,0.265493,0.450111,0.444033,0,0.186988,0.693046,0.163909,0.488462,0,0.815121,0.662722,0.249513,0.792709,0.025847,0.184762,0.899663,0.497354,0.631579,0.387451,0.12766,0.306163,0.347759,0.322523,0.021063,0.363798,0.485564,0.242621,0.451613,0.436702,0.973908,0.50581,0.51074,0.260073,0.16886,0.46779,0.0575,0.156436,0.353468,0.566468,0.425028,0.637378,0.105597,0.709544,0.720836,0.172228,0.70229,0.336927,0.437301,0.572804,0.116544,0.245138,0.463904,0.681682,1,0.238947,0.539073,0.07006,0.175182,0.144014,0.13826,0.186495,0.393035,0.137446,0.385314,0.498195,0.022924,0.688525,0.019758,0.230769,0.381093,0.079962,0.288462,0.195108,0.184211,0.386472,0.561837,0.436426,0.436314,0.437965,0.573446,0.496491,0.328947,0.859522,0.541037,0.326199,0.825843,0.723292,0.486065,0.203474,0.213058,0.52381,0.196094,0.588496,0.468013,0.481818,0.493083,0.418519,0,0.212367,0.406022,0.702138,0.535922,0.858369,0.394659,0.412281,0.552941,0.042423,0.122706,0.129089,0.10553,0.068107,0.425345,0.379946,0.049408,0.203774,0.710145,1,0.132441,0.547672,0.399386,0.307947,0.444266,0.358025,0.330247,0,0.25327,0,0.396414,0.401768,ALL
0.557484,0,0.220144,0.246324,1,0.815603,0.451429,1,0.582409,0.831637,0.102003,0.294359,0.621103,0.244287,0.244872,0.402884,0.881194,0.406805,0.522417,0.727273,0.162416,0.437778,0.618121,0.399471,0.692982,0.138466,0.263298,0.845593,0.24575,0.117978,0.030179,0.393472,0.805774,0.171346,0.190323,0.314362,0.521845,0.35474,0.620525,0.273993,0.135143,0.389495,0.2425,0.229703,0.073826,0.106151,0.364149,0.454672,0.756072,0.576763,0.499663,0.197169,1,0.137466,0.133036,0.666667,0.09578,0.339423,0.132353,0.531532,0.087248,0.203158,0.07351,0.227545,0.905109,0.185078,0.370679,0.389068,0.59204,0.171537,0.753217,0.290614,0.104172,0.334426,0.017423,0.370629,0.308715,0.082785,0.336032,0.342729,0.354386,0.282228,0.289753,0.558992,0.642276,0.585608,0.819209,0.507018,0.703216,0.698769,0.179266,0.753506,0.907303,0.144483,0.578595,0.327543,0.371134,0.299435,0.172498,0.256637,0.326599,0.587879,0.48419,0.496296,0.309963,0.215311,0.41469,0.918487,0.547573,0.286123,0.240356,0.942982,0.65098,0.183201,0.039583,0.332914,0.072235,0.123906,0.31744,0.171121,0.239388,0.367925,0,0.424615,0.134287,0.405765,0.185868,0.317881,0.590217,0.149691,0.675926,0.705882,0.191439,0.742113,0.369024,0.496071,ALL
0.527115,0.393411,0.189448,0.220588,0.471483,0.450355,0.4,0.488906,0.558758,0.655874,0.14453,0.266379,0.318945,0.122931,0.075641,0.233249,0.840534,0.594675,0.415205,0.570227,0.193363,0.453016,0.430176,0.291005,0.747807,0.366988,0.521277,1,0.369397,0.520344,0.014618,0.372107,0.698163,0.142549,0.273118,0.473514,0.393204,0.549847,0.552506,0.316484,0.815515,0.526264,0.1675,0.356436,0.36689,0.09871,0.258174,0.273361,0.611404,0.692946,0.250169,0.176272,0.370229,0.296496,0.725652,0.374248,0.339585,0.460813,0.284759,0.342342,0.322148,0.102105,0.268874,0.426946,0.642336,0.044534,1,0.348339,0.671642,0.20671,0.535958,0.478339,0.519725,0.6,0.00916,0.431235,0.094535,0.212292,0.527328,0.285783,0.289474,0.294164,0.282686,0.42268,0.739837,0.459057,0.759887,0.415789,0.618421,0.762491,0.344492,0.597048,0.804775,0.281086,0.723523,0.138958,0.381443,0.250202,0.110659,0.190265,0.609428,0.566667,0.354743,0.4,0.47786,0.213471,0.67062,0.654217,0.535922,0.620887,0.394659,0.587719,0.378431,0.47723,0.734797,0.29844,1,0.140591,0.544542,0.141703,0.514266,0.271698,0.194203,0.624615,0.550992,0,0.290323,0.152318,0.532478,0.796296,0.388889,0.333333,0.242568,0.687531,0.088147,0.277014,ALL
0.824295,0.427326,0.089688,0.555147,0.802281,0.648936,0.908571,0.680184,0.504804,0.714154,0.908783,0.142857,0.364508,0.065406,0,0.408821,0.663278,0.217456,0.22807,0.610423,0.168343,0.28127,0.521528,0.730159,0.945175,0.620432,0.553191,0.781975,0.149923,0.103933,0.064602,0.498516,0.761155,0.449244,0.249462,0.561958,0.625607,0.072171,0.301909,0.249817,0.150768,0.336967,0.0225,0.562376,0.219239,0.099702,0,0,0.674762,0.576763,0.440998,0.189754,0.759542,0.439353,0.173138,0.462094,0.093771,0.299941,0.135027,0.924925,0.411633,0.257895,0.015232,0.101198,0.813869,0.094853,0.172825,0.404073,0.81592,0.251082,0.682059,0.337545,0.246983,0.055738,0.0185,0.273893,1,0.11132,0.518219,0.336327,0.301754,0.257825,0.303887,0.683849,0.533875,0.46402,0.661017,0.492982,0.846491,0.765387,0.063715,0.61845,0.751404,0.218914,0.39019,0.282878,0.312715,0.549637,0.340114,0.347345,0,0.666667,0.024704,0.703704,0.300738,0.049319,0.393704,0.880197,0.413592,0.573677,0.534125,0.925439,0.482353,0.167234,0.376754,0.152994,0.349323,0.109409,0.470514,0.099441,0.253305,0.164151,0.181643,0.627692,0.270881,0.476718,0.030722,0.662914,0.643144,0.560185,0.398148,0.24183,0.136742,0.84026,0.15239,0.59332,ALL
0.533623,0.408915,0.127578,0.569853,0.553232,0.873522,0.382857,0.951798,0.609756,0.808511,0.053929,0.179936,0.546763,0.117415,0.235897,0.245971,0.974587,0.41716,0.415205,0.788268,0.190934,0.29873,0.624485,0.277778,0.70614,0.720041,0.279255,0,0.075734,0.217143,0.03238,0.467062,0.648294,0.223182,0.277419,0.637632,0.560073,0.425076,0.430788,0.120879,0.114857,0.337958,0.39,0.146535,0.190157,0.095734,0.386697,0.648536,0.717001,0.966805,0.436278,0.196495,0.89313,0.105121,0.324634,0.629362,0.070998,0.447849,0.195187,0.687688,0.208054,0.071579,0.041722,0.364072,0.565693,0.215153,0.307509,0.368703,0.497512,0.279762,0.822104,0.095668,0.019765,0.219672,0.008442,0,0.379616,0.014425,0.240891,0.508408,0.157895,0.747745,0.060071,0.760596,0.815718,0.708437,0.649718,0.489474,0.795322,0.705286,0.208423,0.736531,0.627809,0.301226,0.794872,0,0.189003,0.263923,0.21074,0.349558,0.016835,0.233333,0.634387,0.318519,0.245387,0.074715,0.489507,0.97369,0.28932,0.313305,0.433234,0.684211,0.354902,0.137566,0.033465,0.314041,0.049097,0.085613,0.323714,0.111249,0.389005,0.230189,0.313043,0.138462,0.165667,0.505543,0.311828,0.372848,0.731355,0.864198,0.114198,0.366013,0.328181,0.759639,0.159861,0,ALL
1,0.343992,0.028297,0.772059,0.671103,0.836879,0.971429,0.527927,0.313378,0.910268,0.043451,0.257962,0.853717,0.116627,0.403846,0.359627,1,0.497041,0.824561,0.630755,1,0.206349,0.503931,0,0.607456,1,0.146277,0.555997,0.23493,0.463653,0.017133,0.395846,0.559055,0.421886,0.168817,0.688475,0.564927,0.551682,0.25895,0.098168,0.369243,0.35778,0.295,0.554455,0.47651,0.269841,0.299887,0.528591,0.674762,0.858921,0.49292,0.202899,0.916031,0.253369,0.125398,0.635379,0.211654,0.365351,0.324866,0.255255,0.552573,0.068421,0.372848,0.289222,0.226277,0.253326,0.034565,0.120043,0.437811,0.22132,0.756245,0,0.642932,0.265574,0.007185,0.144522,0.097489,0.129194,0.297571,0.350755,0.098246,0.51565,0.388693,0.69874,0.376694,0.486352,0.658192,0.373684,0.875731,0.709631,0.103672,0.691513,0,0.269702,0.550725,0.344913,0.147766,0.45682,0.15297,0.35177,0.326599,0.633333,0.416008,0,0.184502,0,0.182026,0.940334,0.380583,0.590844,0.507418,0.596491,0.262745,0.352797,0.029507,0.348012,0.072235,0.101751,0.357591,0.170914,0.592206,0.211321,0.123671,0.221538,0.144901,0.501109,0.009217,0.311258,0.568565,0.521605,0.391975,0.480392,0.224732,0.576865,0.306275,0.085462,ALL
0.624729,0.145349,0.075779,0,0.739544,0.828605,0.234286,0.511094,0.54915,0.954672,0.071495,0.394904,0.405276,0.018125,0.079487,0.180662,0.906607,0.565089,0.296296,0.645712,0.630958,0.271429,0.721078,0.346561,0.859649,0.452663,0.215426,0.928429,0.709428,0.151004,0.085665,0.480712,0.858268,0.319654,0.178495,0.467444,0.512136,0.580428,0.435561,0.243223,0.296053,0.509415,0.37,0.306931,0.10962,0.071429,0.404735,0.769874,0.779303,0.925311,0.327714,0.284125,0.770992,0.447439,0.22788,0.659446,0.183523,0.215085,0.068182,0.561562,0.561521,0.037895,0.176821,0.052096,0.857664,0.249855,0.077473,0.452304,0.507463,0.406926,0.494322,0.205776,0.41855,0.265574,0.021374,0.37296,0,0.121355,0.279352,0.370055,0.22807,0.464191,0.070671,0.616266,0.661247,0.743176,0.765537,0.480702,0.960526,0.705286,0.197624,0.791144,0.810393,0,0.61204,0.334988,0.230241,0.260694,0.148902,0.557522,0.393939,0.630303,0.483202,0.107407,0.01845,0.132499,0.499544,1,0.262136,0,0.424332,0.640351,0.201961,0.277494,0.017272,0.176648,0.098758,0.092177,0.346299,0.094883,0.224774,0.286792,0.132367,0.538462,0.234887,0.605322,0.273425,0.402649,0.754611,0.467593,0.280864,0.421569,0.020214,0.76665,0.283865,0.463654,ALL
0,0.282946,0.129976,0.099265,0.61597,0.608747,0.125714,0.755164,0.412417,1,0.043451,0.263194,0.294964,0.050433,0.261538,0.296014,0.855781,0.473373,0.419103,0.73218,0.116747,0.32381,0.572445,0.537037,0.820175,0.606816,0.433511,0.807157,0.463679,0.190841,0.016819,0.481306,0.548556,0.270698,0.468817,0.428031,0.452063,0.313761,0.5358,0.226374,0.17955,0.347869,0.285,0.306931,0.315436,0.25,0.18602,0.62622,0.681098,0.929461,0.387053,0.152679,0.538168,0,0.122215,0.700361,0.313463,0.298763,0,0.975976,0.181208,0.095789,0.38543,0.194012,0.427007,0.172354,0.139452,0.387996,0,0.249459,0.84103,0.212996,0.152774,0.154098,0.011855,0.191142,0.324963,0.349639,0.338057,0.296102,0.201754,0.432361,0.55477,0.500573,0.672087,0.586849,0.740113,0.403509,0.790936,0.695873,0.194384,0.735055,0.787921,0.283713,0.623188,0.511166,0.42268,0.067797,0.165989,0.358407,0.373737,0.790909,0.495059,0.855556,0.337638,0.175193,0.084398,0.928353,0.568932,0.852647,0,0.517544,0.64902,0.193027,0.127024,0.112984,0.14842,0.206236,0.44542,0.244458,0.635351,0.137736,0.140097,0.289231,0.22335,0.248337,0.165899,0.20596,0.576584,0.606481,0.558642,0.509804,0.259215,0.795694,0.090139,0.528487,ALL
0.520607,0.24031,0.31271,0.783088,0.939163,0.729314,0.56,0.479725,0.720621,0.693802,0.068105,0.723157,0.594724,0.022853,0.421795,0.521628,0.642948,0.581361,0.522417,0.58495,0.239518,0.544444,0.921378,0.759259,0.765351,0.594633,0.239362,0.309476,1,0.361423,0.054071,0.266469,0.656168,0.712743,0.397849,0.815466,0.367112,0.416514,0.585919,1,0.537281,0.35778,0.69,0.29901,0.281879,0.234623,0.357384,0.582985,0.668427,0.6639,0.518543,0.247388,0.828244,0.781671,0.195417,0.873646,0.598794,0.466706,0.493316,0.345345,0.485459,0.12,0.484768,0.416168,0.211679,0.337189,0.843862,0.466238,0.60199,0.452381,0.920515,0.483755,0.465128,0.406557,0.015537,0.853147,0.463811,0.522734,0.55668,1,0.44386,0.807427,0.971731,0.547537,0.715447,0.671216,0.624294,0.449123,0.634503,0.74656,0.335853,0.539483,0.894663,0.231173,0.702341,0.441687,0.38488,0.955609,0.234337,0.334071,0.52862,0.781818,0.54249,0.351852,0.573801,0.246596,0.229015,0.558844,0.446602,0.726753,0.124629,0.631579,0.270588,0.920729,0.276718,0.62003,0.274266,0.11023,0.491844,0.570126,0.542102,0.279245,0.311111,0.418462,0.486848,0.425721,0.402458,0.260927,0.627105,1,0.728395,0.352941,0.646849,0.705558,0.112052,0.477407,ALL
