@relation 'Leukemia-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R61,131,202,204,294,349,395,408,492,548,614,671,675,876,893,895,914,955,1049,1103,1376,1380,1425,1494,1581,1685,1696,1736,1794,1872,1892,1894,2069,2145,2168,2259,2584,2675,2690,2713,2715,2751,2846,2861,2880,2935,2972,2980,3058,3085,3128,3193,3196,3229,3240,3256,3283,3295,3302,3356,3390,3410,3454,3542,3581,3583,3698,3735,3792,3823,3856,3882,4012,4031,4050,4094,4112,4159,4168,4328,4361,4438,4539,4557,4561,4592,4601,4719,4721,4958,4994,5038,5078,5080,5124,5144,5149-5150,5214,5222,5276,5296,5387,5395,5439,5541,5544,5548,5656,5691-5692,5784,5862,5940,5950,5995,6000,6126,6187,6352,6404,6420,6427,6485,6506,6557,6579,6685,6694,6780,6830,6988,7002,7024,7064,7077,7130-weka.filters.unsupervised.attribute.Remove-V-R80,26,82,22,86,102,54,133,128,21,115,13,60,70,11,75,107,32,12,120,29,50,56,62,20,108,83,41,19,85,137'

@attribute X59417_at numeric
@attribute M11722_at numeric
@attribute X66401_cds1_at numeric
@attribute L20010_at numeric
@attribute X77533_at numeric
@attribute L06133_at numeric
@attribute U44378_at numeric
@attribute X12953_at numeric
@attribute X89101_s_at numeric
@attribute L19779_at numeric
@attribute M29610_s_at numeric
@attribute D86975_at numeric
@attribute U51711_at numeric
@attribute U81600_at numeric
@attribute D83657_at numeric
@attribute X03934_at numeric
@attribute X15331_s_at numeric
@attribute M28827_at numeric
@attribute D86970_at numeric
@attribute Z26491_s_at numeric
@attribute M20777_at numeric
@attribute U34879_rna1_at numeric
@attribute U46689_at numeric
@attribute U56244_at numeric
@attribute J04101_at numeric
@attribute D10326_s_at numeric
@attribute X74331_at numeric
@attribute U09579_at numeric
@attribute J00124_at numeric
@attribute X75917_at numeric
@attribute CLASS {ALL,AML}

@data
0.434454,0.712796,0.44748,0.11746,0.689826,0.733333,0.156334,0.310345,0.197351,0.93242,0.06801,0,0.306306,0.3079,0.066564,0.026852,0.694343,0.348961,0.253185,0.066294,0.017002,0.315353,0.388688,0.411579,0.731479,0.783885,0,0.296053,0.130604,0.138211,ALL
0.195108,0.387451,0.386472,0.184762,0.437965,0.481818,0.336927,0.25327,0.307947,0.025847,0.122706,0.693046,0.681682,0.137446,0,0.019758,0.406022,0.363798,0.186988,0.379946,0.347759,0.709544,0.572804,0.238947,0.792709,0.702138,0.561837,0.16886,0.249513,0.436314,ALL
0.342729,0.138466,0.282228,0.437778,0.585608,0.587879,0.137466,0.191439,0.317881,0.162416,0.039583,0.621103,0.531532,0.171537,0.102003,0.017423,0.41469,0.393472,0.294359,0.171121,0.24575,0.576763,0.666667,0.203158,0.727273,0.918487,0.289753,0.135143,0.522417,0.642276,ALL
0.285783,0.366988,0.294164,0.453016,0.459057,0.566667,0.296496,0.242568,0.152318,0.193363,0.734797,0.318945,0.342342,0.20671,0.14453,0.00916,0.67062,0.372107,0.266379,0.141703,0.369397,0.692946,0.374248,0.102105,0.570227,0.654217,0.282686,0.815515,0.415205,0.739837,ALL
0.336327,0.620432,0.257825,0.28127,0.46402,0.666667,0.439353,0.136742,0.662914,0.168343,0.376754,0.364508,0.924925,0.251082,0.908783,0.0185,0.393704,0.498516,0.142857,0.099441,0.149923,0.576763,0.462094,0.257895,0.610423,0.880197,0.303887,0.150768,0.22807,0.533875,ALL
0.508408,0.720041,0.747745,0.29873,0.708437,0.233333,0.105121,0.328181,0.372848,0.190934,0.033465,0.546763,0.687688,0.279762,0.053929,0.008442,0.489507,0.467062,0.179936,0.111249,0.075734,0.966805,0.629362,0.071579,0.788268,0.97369,0.060071,0.114857,0.415205,0.815718,ALL
0.350755,1,0.51565,0.206349,0.486352,0.633333,0.253369,0.224732,0.311258,1,0.029507,0.853717,0.255255,0.22132,0.043451,0.007185,0.182026,0.395846,0.257962,0.170914,0.23493,0.858921,0.635379,0.068421,0.630755,0.940334,0.388693,0.369243,0.824561,0.376694,ALL
0.370055,0.452663,0.464191,0.271429,0.743176,0.630303,0.447439,0.020214,0.402649,0.630958,0.017272,0.405276,0.561562,0.406926,0.071495,0.021374,0.499544,0.480712,0.394904,0.094883,0.709428,0.925311,0.659446,0.037895,0.645712,1,0.070671,0.296053,0.296296,0.661247,ALL
0.296102,0.606816,0.432361,0.32381,0.586849,0.790909,0,0.259215,0.20596,0.116747,0.127024,0.294964,0.975976,0.249459,0.043451,0.011855,0.084398,0.481306,0.263194,0.244458,0.463679,0.929461,0.700361,0.095789,0.73218,0.928353,0.55477,0.17955,0.419103,0.672087,ALL
1,0.594633,0.807427,0.544444,0.671216,0.781818,0.781671,0.646849,0.260927,0.239518,0.276718,0.594724,0.345345,0.452381,0.068105,0.015537,0.229015,0.266469,0.723157,0.570126,1,0.6639,0.873646,0.12,0.58495,0.558844,0.971731,0.537281,0.522417,0.715447,ALL
0.494936,0.545824,0.557294,0.272381,0.167494,0.124242,0.514825,0.034483,0.204636,0.169217,0.060813,0.230216,0.453453,1,0.036364,0.0326,0.231296,0.037389,0.316424,0.266211,0.222566,0.224066,0.202166,0.204211,0.646413,0.270848,0.628975,0.248904,0.65692,0.330623,ALL
0.151347,0.02962,0.064456,0.109524,0.16129,0.578788,0.215633,0.384067,0.52649,0.848273,0.037424,0.642686,0.660661,0.305736,0.071186,0.015986,0.416971,0.315727,0.074158,0.065258,0.282844,0.751037,0.361011,0.22,0.912129,0.233968,0.335689,0.109923,0.775828,0.547425,AML
0.063539,0.025957,0,0.140952,0.331266,0.357576,0.215633,0.390012,0.511921,0.750571,0.051817,1,0.648649,0.280303,0.085362,0.01868,0.557482,0.27181,0.044813,0.145018,0.465224,0.618257,0.575211,0.188421,0.653424,0.58257,0.035336,0.298794,0.769981,0.607046,AML
0.128034,0.020145,0.244032,0.265397,0.647643,0.4,0.013477,0.248514,0.146358,0.34922,0.034545,0.338129,0.606607,0.383658,0.366718,0,0,0.412463,0.016606,0.540087,0.550232,0.539419,0.766546,0.312632,0.650152,0.874794,0.031802,0.211075,0.752437,0.918699,AML
0.054175,0.029859,0.051724,0.186984,0.307692,0.318182,0.549865,0.53151,0.423179,0.532818,0.072688,0.577938,0.462462,0.524892,0.130046,0.036282,0.737682,0.378635,0.104186,0.186451,0.369397,0,0.410349,0.149474,0.611825,0.461358,0.09894,0.206689,0.327485,0.609756,AML
0.146188,0.002707,0.139257,0.287937,0.462779,0.251515,0.541779,0.375743,0.478808,0.121071,0.037424,0.678657,1,0.404762,0.133744,0.02344,0.022354,0.38635,0.095996,0.337891,0.31221,0.419087,0.580024,0,0.699229,0.807141,0.328622,0.117873,0.31384,0.235772,AML
0.261227,0.147066,0.17321,0.243492,0.615385,0.636364,0.350404,0.208086,0.4,0.006705,0.083483,0.443645,0.507508,0.430195,0.281048,0.022452,0.264142,0.356677,0.160146,0.236586,0.438949,0.817427,0.54633,0.34,0.65763,0.799389,0.226148,0.202851,0.785575,0.677507,ALL
0.052456,0.38132,0.194695,0.140635,0.408189,0.606061,0.439353,0.331748,0.223841,0.035806,0.096078,0.165468,0.258258,0.57197,0.272111,0.033139,0.186588,0.583383,0.133303,0.151854,0.38949,0.946058,0.528279,0.147368,0.540781,0.781771,0.261484,0.082785,0.539961,0.051491,ALL
0.035353,0.024126,0.067109,0.114921,0.471464,0.360606,0.28841,0.447087,0.24106,0.174173,0.019072,0.486811,0.429429,0.28842,0.096764,0.015896,0.095347,0.409496,0.072566,0.163248,0.440495,0.676349,0.640193,0.045263,0.713251,0.805732,0.212014,0.052083,0,0.834688,AML
0.030671,0.026435,0.270822,0.070794,0.014888,0.190909,0.309973,0.13912,0.351656,0.165914,0.050018,0.345324,0.60961,0.670455,0.212635,0.040054,0.32938,0.386944,0.118744,0.137974,0.094281,0.493776,0.507822,0.113684,0.677027,0.711534,0.095406,0.338542,0.265107,0.590786,AML
