@relation 'DT_Prostate Cancer_RAW_1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N7-F1-weka.filters.unsupervised.attribute.Remove-V-R1970,1226,1945,939,1333,1282,630,432,134,88,1409,1292,1460,2035,1642,987,409,108,1343,1362,1242,292,133,1181,1469,1737,598,2089,1542,1303,39,783,243,1969,728,711,2031,2101,1519,568,1569,1244,161,1374,2088,2083,152,334,988,1051,1731,217,1857,1741,1511,1105,118,616,181,1553,545,6,1688,1656,1293,1218,740,1792,1102,1738,831,1084,1003,1978,1943,206,951,929,1141,1454,1412,1382,1079,1270,1641,1950,541,1754,1385,337,216,1050,1617,490,342,1834,1482,976,105,717,2136-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,17,19-20,22,29,35-36,38,41,45,56,62,64-66,68,70,78,87,97,101'

@attribute 41706_at numeric
@attribute 37639_at numeric
@attribute 38028_at numeric
@attribute 32485_at numeric
@attribute 38326_at numeric
@attribute 38406_f_at numeric
@attribute 31791_at numeric
@attribute 39154_at numeric
@attribute 34840_at numeric
@attribute 34775_at numeric
@attribute 914_g_at numeric
@attribute 39331_at numeric
@attribute 862_at numeric
@attribute 37000_at numeric
@attribute 103_at numeric
@attribute 39817_s_at numeric
@attribute 38059_g_at numeric
@attribute 37599_at numeric
@attribute 40637_at numeric
@attribute 40297_at numeric
@attribute 36147_at numeric
@attribute 33415_at numeric
@attribute 38969_at numeric
@attribute Class {normal,tumor}

@data
-0.701003,-1.150384,0.320947,-2.789845,1.497054,1.287815,-1.354948,-1.290843,-1.06097,-1.553638,-0.390825,-0.729965,0.485599,-1.555508,-0.126794,-1.02413,0.132296,0.155604,-1.556555,-1.60925,-1.411282,-1.089127,-1.933089,normal
-0.119214,-0.763848,0.207672,-0.215698,-0.065954,-1.3883,-0.578958,-1.049721,-0.992239,-1.553359,0.453758,-1.960296,1.011498,-1.624172,0.117218,-0.949954,0.57909,0.874921,-1.557314,-1.779486,-1.541536,-1.867463,-0.943316,normal
-0.984402,-0.721715,-0.659317,-0.029158,-0.871976,0.645288,0.133688,0.262018,0.41669,0.371551,-1.084039,-0.223502,2.15067,0.595427,-0.691924,-1.655035,-0.226619,2.061467,0.353063,0.549844,-0.218705,-0.364145,0.2584,normal
-0.836586,-0.621504,1.081199,-0.395166,-0.236664,1.287815,0.956251,-1.336153,-0.474105,-0.619557,-0.464958,0.043593,-0.078132,-0.993018,-0.150275,-1.067715,0.091696,-0.11102,-1.1041,-0.286069,-0.847409,-0.382207,-0.696805,normal
-0.73805,-1.127885,-0.315805,-0.046065,0.934287,0.391715,1.159305,-0.614767,-0.981652,-0.752449,-0.530701,-0.928206,-0.028137,-0.994252,-0.195113,-0.048405,-0.098118,-0.581194,-0.518173,-0.502974,-0.597706,-1.134527,-0.854673,normal
-0.945325,-1.201213,2.016611,-0.634147,1.735493,1.287815,-0.937173,0.125665,-1.1334,-1.693032,-0.436264,0.120689,-0.698811,-0.834463,-0.355266,-0.156385,1.192478,1.312841,0.05858,-1.759925,-0.608071,-0.130409,-1.119369,normal
-0.589889,-1.158037,0.675468,-1.756097,-1.804269,1.287815,1.931817,-1.080695,-0.616185,0.575178,-0.369766,0.010027,-0.012017,0.129998,-0.352452,-0.340973,-0.175857,0.004305,-0.03131,0.304513,0.127555,0.07625,-0.471239,normal
0.249121,-1.07926,-0.059807,0.563607,-0.364056,-0.876284,-0.630934,-0.97287,-1.079237,-0.596821,-0.270708,-0.96644,0.412784,-0.477399,0.852404,-0.67999,0.20918,-0.181511,-1.196199,0.006129,-0.480846,-0.787709,-1.033582,tumor
0.927926,0.464719,0.00313,1.630361,-0.349694,-1.720401,-0.640184,0.146916,0.57481,0.490006,1.60557,1.71859,-0.125154,1.42938,-0.000895,0.36838,-0.063421,-0.560279,0.415119,1.603751,0.47625,1.969068,0.403242,tumor
1.236243,0.579534,-0.049141,0.074849,-0.377788,-0.51298,0.426931,-0.869919,-0.435424,0.760108,0.777079,0.082639,0.237361,1.389209,-0.022472,-0.283481,-0.109689,-0.969978,1.024906,0.867458,0.216971,0.965556,0.003853,tumor
1.420618,1.341962,-0.405919,1.996133,-0.272617,-0.719085,-1.550124,1.056517,1.470252,0.274019,1.691743,-0.596262,-0.226097,0.936778,2.335148,1.951537,-0.325044,-0.672514,1.119089,0.841604,1.162887,1.969068,1.012452,tumor
-0.312307,-0.987418,0.210933,-0.000355,-0.130525,-2.005713,-0.304804,-1.024475,-0.923252,-1.566735,0.148054,-1.199718,0.800928,-1.129777,0.879928,-0.325414,0.721531,0.489489,-1.077601,-1.67207,-1.439825,-1.901661,-1.531609,tumor
1.079871,1.075851,-0.321878,0.511284,-1.335262,-0.906167,-0.435213,0.411038,0.710624,0.116747,-0.820946,0.907411,-0.238788,0.830133,-0.185821,0.015443,-0.225077,-0.793182,-0.159461,0.558975,0.136593,0.669657,0.829698,tumor
1.574512,1.284343,-1.327721,2.249225,1.08379,-0.930294,-0.573019,0.391714,0.931803,1.327086,1.847942,1.495112,-1.039528,1.565429,0.224025,2.018703,-0.361835,-1.611373,1.790222,1.603751,2.038625,1.969068,1.778941,tumor
0.834799,-0.458002,0.139517,0.196233,-0.36458,-1.183416,-1.235278,0.061934,-0.530674,-0.429103,0.615722,-0.792819,0.249972,-0.675074,0.037093,-0.861577,0.09055,0.111823,-0.918817,-1.004851,-0.238077,-0.173471,-0.27509,tumor
-1.729361,-1.143092,-0.271011,-1.284926,2.30202,1.287815,1.218355,1.497498,0.031852,0.362167,-0.0777,0.822164,2.624047,0.45619,-0.431148,1.252802,1.375102,1.907033,0.588919,0.073965,0.464837,0.459762,1.096285,normal
