@relation 'DT_Prostate Cancer_RAW_1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N7-F2-weka.filters.unsupervised.attribute.Remove-V-R2,6,8,15,18-19,24-25,27,30,34-36,39-40,43-44,48,50,57,62,65-66,71,73,80-83,87,93,95,97,99,101-102,104,109,112,116-117,121,123,128-132,134-135,137-139,142-144,146,151-152,158,161,163,165-166,168,170,173,175-176,179,182,186-189,191-192,196-198,200,206-207,214,220,224,230-231,235,240-241,243-244,248,250,257,262-263,265-266,268,270,277,279,289,292,294,300,302,308,310,312-313,317,320-322,327,330,332,334-335,339-340,344,346-347,351,356,358-360,371,374,379-380,385,388-389,391,393-395,401,407-408,410,412,414-416,418,429-433,435,437,442,447,450,454,456-457,460,464,467-468,471,479,486,488,491-492,494,496,498,500,502,508,510-511,516,521-524,527,529-530,532-535,537-538,542,548,552,554,556,562-564,567,573,575,582,586,593,597-598,600,603-604,606,608,610,612-614,618-619,621,625,632,644,653,656,658-659,661-663,668-669,671-673,675,677-678,681-682,685-686,689-692,695,699-701,713-714,717-722,728,731,733,736-737,747,750-752,754,758-759,764,770,780,784,786,789,791-793,795,797,801-803,805-807,810,815-816,820-821,826-827,829,831-832,835,838-839,841-844,846,848,859,861,863-864,868-870,873,876,878-879,885,887-889,894,899,901,903,905-906,909-910,912,914-915,921,926-927,929,932,934-936,940,944,953,956,958,962-963,968-969,972-973,975,981,987-988,993,995,997,999,1003,1007,1009-1010,1012,1015,1017-1019,1022,1025-1026,1028,1031,1036-1037,1051-1052,1056-1057,1061,1063,1068,1072,1075,1082-1086,1088-1089,1091,1093,1095-1096,1103,1107,1109,1111,1113,1115-1117,1120,1123,1125-1126,1128,1130,1138-1139,1141,1146,1149-1150,1160,1164,1167-1168,1170,1176-1178,1181,1184,1186-1187,1191-1192,1194,1196-1199,1202,1223,1227,1230,1233,1236,1238-1239,1242,1245-1246,1248,1253,1256,1258,1261,1263-1264,1267,1271,1277-1278,1280,1282-1283,1287,1291,1294,1297,1301,1303,1305,1309,1312,1314-1317,1324,1326,1333,1338,1341,1343-1346,1349-1350,1352,1355,1358-1359,1363,1367,1373,1376,1379,1382,1384,1389-1390,1393,1395,1397,1399-1400,1409,1412,1414,1417-1420,1423,1426-1427,1435-1436,1438-1440,1442,1444,1446-1448,1452-1453,1462,1465,1471-1473,1475,1477-1478,1480,1488,1490,1494,1500,1502,1504-1505,1509,1512-1513,1516,1519,1524,1529,1531,1534-1535,1537,1541,1545,1548,1551,1560,1564-1565,1569,1571-1573,1580-1582,1585,1589,1591,1593,1595-1596,1598-1599,1603,1608,1613,1615,1618,1623,1632,1637,1639,1643,1649-1650,1653,1655,1659,1664-1666,1668,1675-1676,1687,1689,1693,1698,1702,1711-1712,1714,1716-1717,1719-1722,1725-1726,1729,1732,1735,1737,1739,1742-1743,1745-1746,1751,1753,1756,1759,1761,1765,1767,1773-1774,1778,1780-1781,1783-1784,1786-1787,1791,1793-1794,1799-1801,1815,1818,1821,1823,1825,1831,1834,1839,1843,1850-1851,1853,1856,1864,1867,1871,1873,1880,1882-1883,1887-1890,1893,1899,1902,1904,1906,1908,1913,1915,1918,1924,1926-1929,1932-1933,1937-1938,1942,1944-1945,1952-1953,1958-1959,1961-1963,1966,1978,1980-1982,1985-1986,1990-1991,1997,2000-2001,2003,2007-2008,2012,2023,2026,2032,2036,2038,2041,2046,2048,2050,2052,2058,2065,2068,2074,2077,2081,2083-2084,2086-2087,2089-2090,2092,2094-2095,2097-2099,2101,2104-2105,2107,2110-2112,2114,2116-2117,2120,2122,2124,2129,2131,2136-weka.filters.unsupervised.attribute.Remove-V-R106,213,618,18,2,391,166,524,82,702,432,448,475,605,470,226,409,205,689,578,502,507,458,668,49,98,413,175,269,544,757'

@attribute 31791_at numeric
@attribute 33825_at numeric
@attribute 40282_s_at numeric
@attribute 1295_at numeric
@attribute 103_at numeric
@attribute 36939_at numeric
@attribute 32783_at numeric
@attribute 38751_i_at numeric
@attribute 216_at numeric
@attribute 41741_at numeric
@attribute 37394_at numeric
@attribute 37720_at numeric
@attribute 38127_at numeric
@attribute 40161_at numeric
@attribute 38087_s_at numeric
@attribute 33989_f_at numeric
@attribute 37028_at numeric
@attribute 33558_at numeric
@attribute 41460_at numeric
@attribute 39473_r_at numeric
@attribute 38504_at numeric
@attribute 38634_at numeric
@attribute 37919_at numeric
@attribute 41172_at numeric
@attribute 1740_g_at numeric
@attribute 31557_at numeric
@attribute 37068_at numeric
@attribute 33027_at numeric
@attribute 34987_s_at numeric
@attribute 39032_at numeric
@attribute Class {normal,tumor}

@data
0.251598,-0.419539,1.523535,0.355545,-0.434844,-0.06331,0.516472,0.924103,1.170337,0.51474,1.785456,0.242522,0.699583,-0.383533,1.209362,-0.263741,0.376678,-0.055061,-0.005664,-0.376513,-0.365108,1.564836,-0.637273,0.995771,-1.034698,0.599933,-0.420473,-0.408168,0.026353,-0.397617,normal
0.735288,-1.047214,1.043281,-1.20555,-0.051439,1.640912,-0.420677,0.87552,1.170337,0.51474,0.071336,-0.373805,0.90601,-0.246357,1.000316,-0.282782,-0.763556,0.902672,-0.769302,1.491676,0.480509,0.670626,-0.087987,-0.501502,-1.116675,0.599933,-0.269312,0.791209,-1.130126,0.573639,normal
0.303596,-1.40317,-0.901468,-1.544065,0.182603,0.427974,-0.039723,-2.427674,-1.314093,-2.39648,-0.888713,-1.700371,-1.257133,-0.010776,-1.092138,0.483692,-0.857724,0.852148,-0.176319,1.936125,1.152729,-1.284525,0.511973,-1.699409,-1.294464,-2.313785,-0.23431,1.847961,-1.271472,-1.834406,normal
-0.441374,1.083795,1.432635,0.519692,-1.432778,-1.035448,1.459151,-0.007664,1.170337,0.51474,1.186427,0.218037,0.85965,-1.621464,0.752657,1.277983,0.140872,-0.68939,1.720983,-0.334212,-0.892587,0.743868,0.607558,0.995771,1.130815,0.599933,-1.647065,-0.783618,1.360499,1.264376,normal
1.931817,0.877011,0.382466,-0.78076,-0.352452,0.321291,-1.105985,-0.026771,1.170337,0.319867,1.610521,0.279842,0.732515,-0.577304,-0.068198,-1.823295,-1.140179,-0.488891,-0.088177,-0.644578,0.289723,0.762651,1.231675,0.995771,0.134941,0.599933,-0.173578,-0.323182,0.742183,0.047488,normal
0.711391,-1.438288,-0.814042,-1.119818,-0.025959,0.904352,-0.069808,-1.836356,-0.939399,-0.615533,-0.402416,-1.547626,-0.865083,0.584394,-0.967637,-0.15846,-0.578033,0.490505,-1.095203,2.096016,1.698309,-0.404513,0.528132,-1.131715,-1.231209,-2.079654,0.56323,1.715555,-1.024119,-0.257341,normal
1.363016,-0.365632,1.177561,-0.806942,-0.36461,0.873874,-0.841838,0.847627,1.017437,0.51474,0.737002,-0.37371,-0.000684,-0.689437,1.19371,-0.635189,-1.085758,0.365638,-0.303017,0.105681,1.658369,0.796137,-0.551761,0.995771,-1.255781,0.599933,-0.505912,0.240229,-1.170185,0.009808,normal
0.639467,-1.560363,-2.029615,-2.027706,0.288529,0.736482,-0.179906,-2.441952,-1.442922,-2.396589,-0.803957,-1.767489,-0.939323,0.440692,-0.872126,0.512512,-0.614052,1.080969,-2.430329,1.384101,1.237102,-1.07902,0.530643,-1.704053,-1.121816,-2.313494,0.160114,1.581105,-1.133662,-1.959585,normal
-1.235278,0.765919,-0.830417,-1.071031,0.037093,0.43548,-0.305561,1.066873,-1.047439,0.116364,-1.240044,-0.916796,-0.946393,0.14668,-1.026371,-0.59401,-0.548941,0.013063,-0.922575,0.389767,0.833194,-0.982039,0.23333,-0.870554,-0.163155,-0.429898,0.101756,1.391435,-1.150575,-1.040305,tumor
-0.309219,1.626275,0.561651,0.920983,1.235655,-0.750902,0.686115,-0.142916,0.911618,0.51474,0.590527,1.085894,0.129133,1.240098,0.296512,-0.654057,1.245109,-0.966187,0.884856,-0.137552,-0.261521,0.19951,-0.384946,0.021404,-0.528934,0.599933,1.474139,-0.746208,1.184526,0.953041,tumor
-1.18403,-0.844942,-1.18749,-0.536583,-0.288177,0.046017,-0.53903,1.066873,-1.256925,0.51474,-1.848329,0.921334,-0.67299,1.04337,-0.825857,1.217162,-0.334319,0.041201,-0.319251,-0.021209,0.249826,-1.440314,0.314339,0.314969,0.687522,0.599933,0.493132,-0.149538,0.702999,0.256547,tumor
-0.306743,-0.573686,-0.800431,1.047455,-0.031866,0.495557,-0.90224,1.066873,0.614379,0.51474,-0.985465,-0.909304,0.45829,0.163507,-0.749289,-0.727503,-0.414809,1.072216,-0.196431,-0.055085,0.775635,0.243012,0.281457,-1.145252,-0.028558,-0.499279,0.217277,0.438543,-1.101366,1.264376,tumor
-0.208102,0.660914,-0.859735,-0.147368,0.439572,-0.344568,-0.770465,-0.781154,-0.197112,-0.285795,-0.522053,0.507329,-0.897865,-0.558569,-1.046345,0.706723,0.509573,0.251318,0.239217,-0.072549,-0.401875,-1.169465,-0.506853,0.995771,0.998754,-0.690531,-0.447073,0.479276,0.222507,0.594689,tumor
