@relation 'DLBCL_ADASYN_resampled_data-weka.filters.unsupervised.attribute.Remove-V-R2123,327,534,2275,450,483,839,2208,1157,1987,152,286,92,1807,343,797,2068,1895,584,617,2106,1226,1650,127,2621,2318,2000,1865,251,2335,2648-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N7-F1'

@attribute X52142_at numeric
@attribute D79987_at numeric
@attribute HG4074-HT4344_at numeric
@attribute X69433_at numeric
@attribute HG1980-HT2023_at numeric
@attribute HG2874-HT3018_at numeric
@attribute L36720_at numeric
@attribute X62078_at numeric
@attribute M57710_at numeric
@attribute V00594_at numeric
@attribute D21063_at numeric
@attribute D55716_at numeric
@attribute D10925_at numeric
@attribute U63743_at numeric
@attribute D80008_at numeric
@attribute L25876_at numeric
@attribute X13293_at numeric
@attribute U78525_at numeric
@attribute J02645_at numeric
@attribute J04031_at numeric
@attribute X17567_s_at numeric
@attribute M74093_at numeric
@attribute U37426_at numeric
@attribute D14662_at numeric
@attribute Z50115_s_at numeric
@attribute X74801_at numeric
@attribute X02152_at numeric
@attribute U73379_at numeric
@attribute D45248_at numeric
@attribute X76534_at numeric
@attribute CLASS {Cancer,normal}

@data
728.980813,1832.977414,2207.179429,3434.930496,13526.69686,1789.031748,2471.899196,5268.469105,16000,15256.38821,2630.945553,2847.305353,1396.639229,1737.087827,1022.64605,809.31345,3435.545679,5644.386737,1857.084619,1820.831121,9785.807045,767.584328,601.538564,2573.97395,2172.956821,3352.928337,16000,3554.862937,11007.75795,6293.542807,Cancer
609.499149,2054.084393,1807.354999,1794.110783,7951.470635,1897.264145,1351.113964,2545.300601,2682.195951,8157.893841,2818.696934,3355.849818,816.529916,2372.267761,735.455673,1115.093309,3323.770942,2310.835096,2157.903382,1301.40641,7508.539158,838.393188,617.599358,2240.807419,3203.796631,1883.896537,10821.78564,3666.813405,5235.76741,1230.332603,Cancer
747.450432,1743.016495,4798.535513,1630.098302,13561.09336,7391.582465,1909.345705,3489.36742,2800.048312,3479.595859,3190.386899,2771.717951,1061.602994,2139.815299,1476.084596,2565.406468,3404.99517,3262.331111,3872.872326,806.889158,12433.26999,1102.467315,906.767816,1930.814794,1768.084508,3918.020384,16000,3467.868743,10717.76047,2845.250645,Cancer
721.200699,1995.828464,2162.935155,2093.432125,15557.39823,1951.547997,1807.42493,6118.482368,10427.64615,15986.56057,3336.626616,3074.264431,1882.458113,2286.537537,866.161267,1250.664351,3034.304456,3003.83166,2119.792121,3737.709578,8184.21359,783.760821,648.369236,3318.17588,2296.004872,2985.073236,11565.35611,4051.591261,7872.982115,7554.324293,Cancer
779.772082,1440.348083,1611.110486,1856.658034,5805.810535,1291.053436,1670.688544,5101.196357,11921.6938,16000,2097.061391,2594.807227,2119.601916,1489.677601,513.098345,867.210972,1889.087583,2664.052912,1831.76053,949.636174,5290.707696,1012.964117,440.137337,1834.540289,2584.224507,2316.42359,7746.050156,1291.512751,5684.477694,6736.752304,Cancer
1806.994497,2192.077846,3171.375079,1870.742686,8255.468042,1834.497364,2166.877201,3484.390404,5385.730732,5311.977244,5109.139359,2390.282389,1317.614273,2018.940557,846.551257,1188.534835,3576.439792,5085.796524,2984.57648,1831.390519,6992.3442,1660.556485,780.732388,5683.432505,2907.802637,4585.352133,16000,2657.606656,6081.736408,8458.915514,Cancer
604.498017,2169.680341,3538.967771,2465.188538,13651.86961,2413.053055,2034.148353,5459.458076,15240.85673,7716.797045,7121.060989,4104.675464,1695.011442,1815.178281,973.528755,1690.586669,3229.161186,5227.813103,3707.061425,2484.533879,16000,1204.275849,771.521119,3709.871926,2367.516573,3475.841195,16000,7180.897625,13343.42635,2617.757925,Cancer
987.771779,1847.837319,3588.247661,1592.748492,11281.58874,1994.195805,2009.124928,2483.687295,4050.827994,6063.53409,4248.021678,3774.094814,1678.93064,2298.778225,1068.511363,1190.333983,3706.574168,3300.776241,2521.369128,1650.721488,9201.368812,904.863704,1025.949716,3273.671659,2178.00445,2865.906536,16000,2300.386785,7905.795566,7509.387004,Cancer
939.040909,2307.80127,5168.336246,2049.801793,16000,6012.794633,3043.239647,2964.403651,9781.796713,6275.107404,3829.286866,4319.069237,1109.239611,2183.757908,1104.113701,1485.362622,3284.722433,8470.066961,2508.053996,2158.10278,11526.29613,1365.579663,729.338596,2870.560489,2497.009251,4015.28157,10878.48516,3977.100461,13777.46435,1516.912805,Cancer
504.974676,1141.425633,901.447029,1131.696313,3388.90616,1128.877753,1081.070348,1561.637047,1757.898431,3131.859109,1627.943676,1859.611444,879.752259,1415.487459,534.407162,547.524486,1810.262076,1265.10587,1451.695622,782.623846,3265.855495,722.504887,411.00091,1473.034312,2222.195292,1265.474563,2512.229639,1315.979212,3143.381834,1005.02506,normal
704.511726,1702.10219,1534.316443,1397.79703,5952.796196,1567.469868,1340.371007,2566.612147,2863.429546,2902.497957,1860.29546,2124.123048,846.247147,1329.862106,553.130561,891.961583,2778.558803,2820.562202,1601.519715,1096.184492,6373.333917,876.299616,602.856612,1869.651567,2336.815483,1945.985872,5809.607524,2267.914066,4648.292025,2051.710236,normal
510.657224,1277.071072,1069.577191,1234.614471,2885.715801,1168.207144,1155.645912,1522.59361,1732.759712,2918.560286,1546.82656,2236.514581,826.805281,1517.711973,558.984064,598.812872,2041.875244,1449.008152,1488.249499,662.822767,3789.545488,794.531966,458.665161,1389.38128,1528.992777,1222.590818,3966.067318,1831.798787,2253.159738,1134.882959,normal
502.379638,1217.164913,1033.456605,994.732743,3003.015582,995.876258,1286.441261,1330.570965,1098.728062,3131.078175,1321.649232,1368.797204,839.007244,1661.031371,481.279613,518.235447,1696.797906,1082.146992,1264.747052,723.583596,2941.883295,791.111838,408.292142,1228.236,1649.607928,919.50444,1945.661204,1400.163002,1958.39316,484.056459,normal
673.818986,1517.980761,1622.349353,1242.413167,5662.430898,1481.989402,1620.178695,2030.737221,2765.623112,2960.368899,2434.731422,2244.159092,873.639648,1374.693236,591.141257,819.635271,2016.813967,2049.706786,2694.940424,1361.367787,6113.241553,843.446749,554.666135,2372.836856,1934.132674,1897.173628,7028.895784,1958.36856,4503.79342,918.046956,normal
452.421514,1256.057939,945.62828,1031.222583,3132.40864,1041.385715,1186.790444,1679.657763,1888.771583,2925.440459,1709.729652,1765.776505,901.532359,1185.777436,611.97,570.302043,1939.270337,1407.609783,1366.214752,782.280469,3518.113024,749.651752,443.407767,1506.270599,1985.533339,1195.631188,3065.766172,1438.971839,2946.990657,866.302921,normal
458.442286,1104.572174,872.399411,962.000278,3348.663662,968.079783,1056.577737,1527.483041,1498.029112,3400.709272,1274.220952,1389.422414,877.449358,1406.985036,485.551095,518.064129,1800.320078,1226.291737,1202.082726,705.539348,3124.65258,731.50659,420.212384,1223.263812,1656.182264,939.357319,1809.223506,1330.476237,2424.976423,709.245207,normal
506.581096,1234.470629,1123.047755,1216.202366,4396.296872,1218.804097,1266.939199,2268.128532,2148.170989,2403.420687,1855.734554,2409.821371,903.545908,1544.606488,544.526816,842.219954,2266.970005,1765.854043,1539.323957,683.931138,4349.394504,812.506738,469.211595,2133.413409,2038.119165,1513.466527,5395.061036,1652.216181,3983.430954,870.431608,normal
617.304136,1959.965357,2085.155791,1650.624914,13692.65386,1733.558689,1977.71284,3613.698675,3308.910205,5185.457049,2228.507113,2182.982212,1036.457494,1929.806185,843.558413,721.321092,2746.723322,3018.430676,1572.149518,1354.031672,4850.680005,962.561715,564.026472,2581.947484,2157.46564,1974.17087,5350.222313,1945.119535,4339.462001,797.039085,Cancer
555.130157,1690.411379,2137.479714,3258.709494,7688.400949,1598.091976,2253.982094,3191.969232,8715.520207,4313.905937,3447.692122,3188.524871,901.553998,1644.856849,755.593366,1164.210638,3230.425107,2620.501605,3599.988079,1708.027071,8869.56495,962.377495,660.863869,1950.864403,2645.693943,3131.305265,16000,3330.694387,7195.780438,2186.142869,Cancer
