@relation 'Leukemia_resampled_data-weka.filters.unsupervised.attribute.Remove-V-R1834,3252,1882,4847,6041,6855,2288,2354,760,4377,1685,6376,1779,4366,5772,1144,2128,4328,758,2121,2402,4196,804,2642,1909,1725,1745,2335,6281,2363,7130'

@attribute M23197_at numeric
@attribute U46499_at numeric
@attribute M27891_at numeric
@attribute X95735_at numeric
@attribute L09209_s_at numeric
@attribute M31523_at numeric
@attribute M84526_at numeric
@attribute M92287_at numeric
@attribute D88422_at numeric
@attribute X62654_rna1_at numeric
@attribute M11722_at numeric
@attribute M83652_s_at numeric
@attribute M19507_at numeric
@attribute X61587_at numeric
@attribute U22376_cds2_s_at numeric
@attribute J05243_at numeric
@attribute M63379_at numeric
@attribute X59417_at numeric
@attribute D88270_at numeric
@attribute M63138_at numeric
@attribute M96326_rna1_at numeric
@attribute X17042_at numeric
@attribute HG1612-HT1612_at numeric
@attribute U05259_rna1_at numeric
@attribute M29696_at numeric
@attribute M14636_at numeric
@attribute M16038_at numeric
@attribute M89957_at numeric
@attribute M31211_s_at numeric
@attribute M93056_at numeric
@attribute CLASS {ALL,AML}

@data
168,91,-65,178,7,1484,-323,3633,62,649,8700,135,490,62,2037,786,403,4646,2006,951,627,33,4057,12968,939,-48,164,2751,475,125,ALL
244,70,68,105,360,606,-524,522,84,671,4614,1030,-49,273,1497,994,276,2141,1803,1008,827,1269,1585,1813,502,46,797,-270,251,1181,ALL
73,45,-125,252,565,1479,-111,6400,226,306,1487,-239,18,216,4240,615,245,3686,3883,1208,699,1183,3367,3627,7097,48,491,2194,616,597,ALL
154,24,250,92,911,1751,-124,5358,189,586,4357,6,989,500,2105,233,233,3090,3110,1107,344,1045,3600,4750,559,63,265,2578,362,164,ALL
88,165,-96,-52,216,2148,-120,3598,502,687,7540,-31,1213,288,3821,853,326,3619,4059,1502,2235,7064,2271,3115,1144,129,223,1713,329,307,ALL
128,-87,502,-152,289,1955,-38,5600,51,361,8791,-177,-60,72,3686,773,263,5420,3939,1169,330,155,5083,11999,1695,51,252,1937,710,62,ALL
117,14,78,-61,1110,1275,-31,7477,86,721,12307,48,-146,-298,2943,382,216,3770,6955,1551,621,1327,2621,4200,1479,120,87,2639,467,100,ALL
37,-15,49,28,291,980,-83,6841,7,399,5433,106,-30,-4,2809,443,267,3972,3498,1750,173,283,2388,3403,1594,10,173,3014,475,257,ALL
287,63,107,399,605,1052,203,1338,105,506,7369,252,706,75,2805,510,491,3198,1924,1405,851,2450,2425,2559,508,163,313,521,493,745,ALL
222,70,-177,805,920,2428,-140,8921,43,767,7216,170,199,485,6996,598,242,10565,10157,1642,350,1537,7275,5632,1200,132,178,2456,951,379,ALL
390,92,394,-428,-62,1467,-190,4174,88,589,6603,-400,1293,-515,2753,861,608,5279,7721,2622,217,690,2787,9288,6273,-2,390,3021,356,76,ALL
928,1582,11686,5814,3223,197,6595,1451,3871,2730,120,633,9138,3266,1238,135,7759,1683,-45,6223,11036,7281,815,-160,396,181,2735,-722,70,2518,AML
593,1269,2745,2335,1518,110,9851,583,995,1675,74,852,10171,1412,376,48,5849,764,46,2815,17279,6957,522,382,416,112,2089,-673,64,1393,AML
1533,892,17846,2007,3016,139,7213,1342,9433,2783,1,3599,747,4199,407,294,673,1439,14,13422,1676,6371,649,460,180,250,1744,-458,248,1636,AML
769,1233,21404,3870,3162,388,19568,1062,850,5116,123,1465,9006,1465,2585,109,993,666,3,5946,13774,7056,4118,686,675,54,1522,-856,158,738,AML
629,643,10737,4403,5704,282,4366,626,2241,2157,-218,1392,22222,2269,2685,352,1153,1629,141,6179,15196,7248,690,155,377,525,855,53,575,2110,AML
159,27,359,878,646,821,-77,3375,187,649,1595,142,2269,247,1188,421,297,2833,1465,768,1767,2057,2626,1642,664,12,217,811,439,222,ALL
252,167,553,162,417,1297,-2,2417,169,391,4537,-226,296,90,2075,1359,337,648,3635,1815,839,1102,3229,4941,1060,54,185,2137,190,56,ALL
827,1267,3168,2287,2458,196,10120,851,2010,1077,51,37,9986,1079,2295,21,854,469,55,5971,28647,8964,397,174,60,526,444,-324,21,1912,AML
646,1480,14193,2871,1724,268,5903,751,1483,1335,80,1987,14230,615,562,151,636,420,86,3913,2571,3653,1696,698,145,200,1020,-293,173,1236,AML
122,38,180,373,338,1087,-33,7867,406,508,7480,147,2681,241,4961,739,332,4913,8205,2577,2724,4509,2620,2282,376,38,147,3825,592,569,ALL
336,1568,2460,2122,2496,461,3717,528,4177,1814,445,207,27285,1722,2564,336,433,1151,49,2442,25625,10449,870,314,168,448,385,275,137,2710,AML
526,3166,123,3186,1705,446,2130,754,140,1590,221,537,28390,1915,934,288,394,1012,67,2776,2297,975,2704,325,281,210,489,-73,201,2069,AML
1605,1121,24178,7133,3785,328,5249,1957,6913,1292,-53,3308,2606,4191,417,282,942,720,6,7323,1255,5314,1621,1742,933,389,1837,-252,94,843,AML
1883,2767,19680,5949,6008,253,7924,1152,7807,1756,106,6155,5895,3418,537,5,609,1453,192,6215,2270,5178,1427,351,558,351,2686,-561,74,993,AML
2204,1415,3293,4174,1819,450,2705,227,658,932,-27,1089,3917,2133,3201,195,1756,986,208,11451,2914,6311,680,1070,710,528,1499,-984,51,4985,AML
560,1550,12735,2194,1717,375,4667,456,1347,1762,-170,1336,17371,1474,427,220,505,614,-84,2172,4561,5086,1478,301,351,230,716,-248,198,2372,AML
341,163,2103,543,1095,528,-189,836,106,1397,249,562,228,549,834,230,502,2284,215,1775,380,3340,819,623,399,60,460,308,226,1012,AML
247,38,2090,2451,1616,929,149,2474,343,1602,-28,403,-113,2189,1358,519,280,1438,149,2718,513,4401,7408,707,479,-10,1448,-152,200,461,ALL
74,1,163,1931,1053,3923,115,6203,204,1269,5653,338,87,507,8402,1226,240,6609,7873,1576,575,2282,4787,6101,1968,128,462,2203,580,3077,ALL
252,34,-166,395,799,1794,16,9155,178,1935,4830,358,777,1086,5032,765,204,6622,6504,2065,271,2128,5499,4634,5448,57,505,4218,573,1102,ALL
111,43,239,43,210,1277,-321,1814,117,434,1644,142,917,140,2178,344,247,2962,3302,1243,703,348,1768,4896,1169,21,426,2815,348,126,ALL
130,-2,-39,509,187,828,-28,1608,101,661,1671,-128,-139,378,306,1164,229,1076,310,1297,623,1128,2097,4317,2810,3,190,935,218,172,ALL
230,94,453,417,435,1361,-21,2420,26,1339,1327,-189,311,1247,1374,894,235,3102,2047,558,185,1357,5088,6517,2486,-22,406,742,493,231,ALL
261,44,303,298,1284,1320,-283,4778,161,631,3282,-70,56,242,3105,610,435,3016,1965,1410,782,177,3767,9326,3863,-44,365,2150,601,83,ALL
101,146,1358,307,540,898,-65,2700,588,739,1627,364,-29,667,1118,927,286,3424,198,2325,368,3460,2890,895,511,52,624,-512,435,921,ALL
309,110,254,309,236,597,-395,4926,207,106,2783,-208,-109,419,4543,1697,623,7724,579,2789,1268,416,5996,628,1952,-116,108,-1046,547,58,ALL
288,86,-304,693,786,1644,-367,5403,82,352,1544,34,-62,-100,5467,425,409,3821,4881,1132,882,392,2810,5314,6127,70,873,1624,472,483,ALL
395,104,-86,713,968,1322,290,3440,337,2028,1896,218,938,918,3469,529,216,5216,3383,1269,949,7972,2206,5354,2547,151,686,2986,661,1385,ALL
58,10,1168,247,368,787,-40,3179,200,17,2372,401,88,321,3309,1682,279,4194,3,1854,910,597,3881,282,1804,-14,302,-508,337,-3,ALL
84,105,-233,52,344,946,-366,3978,55,245,613,255,-78,-220,3936,386,586,5528,1507,2735,826,403,3723,5146,1129,18,325,1198,309,488,ALL
251,104,-247,-215,-196,1917,-656,3293,121,281,4066,-100,-257,-215,4745,629,335,2073,1248,1962,1302,140,4072,4048,1412,-38,244,1797,263,-142,ALL
155,103,336,-223,310,1440,-231,7324,127,621,1391,521,-35,691,4081,2760,516,7782,41,2900,1337,848,7439,423,5817,-46,273,-597,978,1240,ALL
167,64,498,492,260,442,-36,2676,272,381,972,-169,392,320,1658,1722,288,5204,365,1855,82,1094,4791,585,769,16,144,-521,752,254,ALL
140,93,-376,-25,210,617,-152,6134,37,373,780,-276,16,140,2853,1587,312,6541,39,1471,737,1343,4406,147,1704,-3,34,-565,897,851,ALL
287,33,107,408,146,474,41,2056,306,626,2433,252,1452,879,551,169,298,846,712,1763,1296,5252,1379,2504,363,191,399,676,334,712,ALL
152,61,-97,724,825,1969,-104,10669,44,712,9811,4,22,200,4746,719,263,7743,7509,786,160,2408,6964,5075,1515,-4,281,2827,668,409,ALL
145,986,820,360,513,686,-140,1912,328,800,257,493,93,946,1534,859,377,1756,26,2337,838,2525,2056,155,3854,14,589,-472,265,88,ALL
81,46,76,938,440,2572,-198,9211,128,704,6270,114,333,408,5311,661,179,7288,5394,2035,520,2133,3688,5767,4436,35,854,2748,898,789,ALL
202,30,36,848,94,1439,-102,3345,133,537,6845,-91,3562,-14,4326,1034,353,6084,3809,1910,478,1232,2976,3649,2206,-34,289,2335,666,367,ALL
286,3107,375,926,3755,989,-158,2360,71,648,1234,78,1441,2127,7155,447,311,2455,-68,4215,7,1150,3182,218,754,1214,534,-660,374,3786,ALL
141,85,22,390,173,1186,-76,1316,-7,345,-135,-163,184,463,1178,252,193,1273,19,711,-144,1232,2209,3339,27,10,540,800,516,225,ALL
155,2,-180,615,265,1224,-108,2492,69,364,7686,-196,478,-23,3427,1041,171,6482,67,1346,45,1519,2580,2696,473,76,44,1869,473,413,ALL
180,78,205,827,897,4555,-58,6464,-9,1029,10926,-345,379,-57,6870,1717,215,7629,1105,2273,-862,180,10857,8148,4409,-49,616,6169,1487,337,ALL
139,41,-124,68,347,2707,-151,524,126,748,1830,82,-64,-189,9177,604,262,5746,9453,545,343,1912,1535,2805,1536,33,447,-268,688,198,ALL
124,-37,-102,122,258,274,-243,3253,43,549,219,-175,51,-103,4836,304,313,699,4328,949,678,354,4624,5397,678,-3,239,397,143,47,ALL
108,53,425,-108,311,590,-275,3796,77,85,807,121,-36,-7,3085,397,391,2443,-11,1297,1177,178,3710,870,2103,24,9,-518,376,-93,ALL
102,64,-205,222,593,1823,-263,4093,177,773,1628,-183,59,445,5815,642,374,3840,4110,1343,734,1687,5079,5955,1478,15,515,1652,531,908,ALL
203,83,-229,700,104,553,-203,1689,17,245,2790,-49,135,140,1872,295,305,3878,5119,1371,502,3711,2302,5070,5653,161,50,727,481,366,ALL
128,70,66,433,741,1909,-53,5204,78,814,5455,-65,196,507,3265,1122,140,3262,7600,1330,29,1750,2106,8219,2281,37,268,3837,647,129,ALL
84,114,34,-674,-15,1076,-398,2581,137,384,2495,-239,-93,-621,2877,209,433,1810,3780,2127,176,291,3307,4184,503,20,483,563,145,-143,ALL
316,208,1073,2224,1355,353,-21,1283,262,1121,-252,1179,429,531,794,102,381,1203,168,4214,548,7858,2194,-2,485,119,679,-533,300,940,AML
555,1049,6962,3348,2219,279,6569,1525,1567,1755,297,868,2204,2128,1312,237,255,1561,59,2558,19615,8859,460,412,185,110,1305,-66,237,2422,AML
1130,1304,14555,6218,4607,250,7372,811,9600,7589,412,1537,353,2240,485,238,8769,1628,51,8793,9994,11003,1874,343,281,367,2694,-653,100,2364,AML
1338,2087,7238,1548,1017,381,4833,1032,894,1888,385,1675,11205,1009,408,57,659,1784,170,4630,7791,5849,767,272,444,130,1028,-669,192,1315,AML
774,167,12339,3297,2212,671,141,1024,347,1696,1284,657,209,549,1047,628,480,1214,146,7373,976,3259,2856,306,438,303,2680,-493,339,925,AML
443,1689,3654,3482,4198,200,2000,1827,1013,2519,58,562,8072,2189,335,-44,680,1583,187,2771,4108,8855,2205,19,1068,339,3223,-1034,59,2968,AML
1450,2139,1537,2947,1192,299,4830,498,728,1907,454,1338,6960,1112,1126,206,1896,782,114,5587,13464,8518,624,711,517,305,1674,-248,153,2365,AML
781,1185,1481,1050,1243,389,-312,165,853,743,2,565,15791,622,880,-16,555,490,33,3909,1233,3628,680,654,459,238,735,-560,19,560,AML
