@relation 'prostate_cancer_preprocessed-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-V-R1970,432,1181,1945,1226,1409,1292,1333,783,1282,1961,1642,1242,1749,409,1737,88,2035,1857,1362,939,133,2101,466,1804,331,497,292,152,1931,2136'

@attribute 41706_at numeric
@attribute 32598_at numeric
@attribute 37366_at numeric
@attribute 41468_at numeric
@attribute 37639_at numeric
@attribute 38634_at numeric
@attribute 38057_at numeric
@attribute 38291_at numeric
@attribute 35276_at numeric
@attribute 38028_at numeric
@attribute 41609_at numeric
@attribute 39756_g_at numeric
@attribute 37720_at numeric
@attribute 40415_at numeric
@attribute 32485_at numeric
@attribute 40282_s_at numeric
@attribute 1513_at numeric
@attribute 575_s_at numeric
@attribute 41013_at numeric
@attribute 38406_f_at numeric
@attribute 36174_at numeric
@attribute 1739_at numeric
@attribute 914_g_at numeric
@attribute 32806_at numeric
@attribute 40767_at numeric
@attribute 32052_at numeric
@attribute 33131_at numeric
@attribute 31791_at numeric
@attribute 1831_at numeric
@attribute 41338_at numeric
@attribute Class {normal,tumor}

@data
3.138864,8.31828,5.58494,6.127842,2.445255,7.599877,5.484582,7.866637,4.418601,4.193302,3.619814,7.661507,8.337423,3.196235,3.072498,7.887163,3.958822,5.249645,4.6682,8.765677,4.976706,5.165078,3.536425,6.725148,4.756103,5.578988,5.859048,4.662626,3.511533,8.578805,normal
3.216485,4.448316,5.140731,3.45036,2.299971,6.852025,4.292753,3.849227,4.031374,3.604215,3.228163,4.522699,7.138259,3.20067,2.915566,8.735013,4.318813,4.33553,4.700589,9,4.509457,4.815048,3.587683,5.280796,3.759608,7.059381,5.302259,3.623834,2.896701,8.609205,normal
2.715692,5.01312,6.483515,7.095321,2.308503,6.673453,5.663416,6.356876,9,3.413872,3.263644,8.909007,8.562079,4.278491,3.197084,8.208144,4.683601,5.4239,5.844679,9,5.859851,4.735194,3.730451,8.156083,5.033481,9,6.625426,5.424314,2.650556,8.820868,normal
3.166953,5.620626,5.228231,3.339723,2.327955,6.288278,4.139674,4.03388,4.181274,3.943433,3.190681,6.094417,6.311827,3.176267,3.523608,5.319305,3.947184,5.16691,5.03878,9,5.414328,5.077767,3.556493,5.853033,3.632063,4.605579,4.852626,5.196471,2.76263,8.994026,normal
3.141028,6.042732,5.348016,3.514049,2.38278,5.84682,3.529896,5.19474,3.780509,3.516537,3.144953,5.383603,6.120425,3.233469,3.533598,5.139213,3.997597,4.591552,3.569033,7.016941,5.211544,5.519709,3.661596,6.316213,3.779047,8.57646,4.479997,4.038671,2.913829,8.801244,normal
3.141028,6.042732,5.348016,3.514049,2.38278,5.84682,3.529896,5.19474,3.780509,3.516537,3.144953,5.383603,6.120425,3.233469,3.533598,5.139213,3.997597,4.591552,3.569033,7.016941,5.211544,5.519709,3.661596,6.316213,3.779047,8.57646,4.479997,4.038671,2.913829,8.801244,normal
3.054166,3.23078,8.0496,7.759447,2.854732,4.507595,2.919552,4.758209,7.346886,3.315344,2.582965,8.467733,8.139097,4.339812,3.56295,2.336917,4.355726,5.371778,3.403101,8.333748,5.155802,7.784576,3.339521,7.815986,3.108034,4.548524,4.232173,4.577383,2.653044,9,normal
3.149766,4.70361,5.27048,4.823369,2.407516,5.814972,3.882403,3.777736,6.032646,3.504062,3.267143,7.420186,7.763004,3.168948,3.553077,5.835529,3.90981,5.726768,4.047974,8.903554,5.444219,5.260833,3.524981,7.38559,3.730577,6.352225,4.177468,5.029207,2.815643,9,normal
3.641997,4.161245,4.617635,3.553898,2.795043,3.980479,3.009977,4.168264,4.066663,3.56293,3.176938,3.89497,4.716689,3.169832,3.496139,1.562742,3.867677,5.267395,3.516018,5.934039,4.943333,4.93051,4.045361,2.556358,3.892936,4.152563,4.47808,4.093925,2.929668,4.216805,normal
3.009747,7.983873,7.143717,6.121826,4.990952,8.376702,5.274649,6.93699,5.579007,5.393323,4.087985,8.236663,8.527453,4.640518,3.392615,7.863323,4.607847,6.231218,5.357355,9,6.526383,4.764592,3.22146,7.363512,5.913152,6.284388,6.604941,5.091404,4.519797,9,normal
