@relation 'Leukemia_transformed_data_johnson_py(gene_index)-weka.filters.unsupervised.attribute.Remove-V-R1834,6855,3252,2354,4847,804,2121,1882,6041,4328,6281,1829,1725,760,4373,2363,2128,4377,4196,7119,1745,5501,6185,2288,6919,4366,4951,5772,6283,1909,6376,235,1779,461,1598,1704,1144,2642,4229,4211,4973,6967,2402,2020,6225,2141,6974,5552,1260,1685,3722,2111,3904,3507,1369,3320,4582,6806,2441,6347,5833,4116,1157,1962,5593,2497,5171,1630,3433,758,6005,4167,4535,6797,874,2348,2833,6702,3899,6803,1928,4894,1400,88,6573,6761,2439,4609,4291,5130,5377,1120,4472,5254,6201,6378,4438,5683,4082,4107,7130'

@attribute M23197_at numeric
@attribute M31523_at numeric
@attribute U46499_at numeric
@attribute M92287_at numeric
@attribute X95735_at numeric
@attribute HG1612-HT1612_at numeric
@attribute M63138_at numeric
@attribute M27891_at numeric
@attribute L09209_s_at numeric
@attribute X59417_at numeric
@attribute M31211_s_at numeric
@attribute M22960_at numeric
@attribute M14636_at numeric
@attribute D88422_at numeric
@attribute X62320_at numeric
@attribute M93056_at numeric
@attribute M63379_at numeric
@attribute X62654_rna1_at numeric
@attribute X17042_at numeric
@attribute U29175_at numeric
@attribute M16038_at numeric
@attribute Z15115_at numeric
@attribute X64072_s_at numeric
@attribute M84526_at numeric
@attribute X16546_at numeric
@attribute X61587_at numeric
@attribute Y07604_at numeric
@attribute U22376_cds2_s_at numeric
@attribute M65214_s_at numeric
@attribute M29696_at numeric
@attribute M83652_s_at numeric
@attribute D14664_at numeric
@attribute M19507_at numeric
@attribute D49950_at numeric
@attribute L41559_at numeric
@attribute M13792_at numeric
@attribute J05243_at numeric
@attribute U05259_rna1_at numeric
@attribute X52056_at numeric
@attribute X51521_at numeric
@attribute Y08612_at numeric
@attribute M15395_at numeric
@attribute M96326_rna1_at numeric
@attribute M55150_at numeric
@attribute M84371_rna1_s_at numeric
@attribute M63959_at numeric
@attribute M28170_at numeric
@attribute L06797_s_at numeric
@attribute L09717_at numeric
@attribute M11722_at numeric
@attribute U77948_at numeric
@attribute M62762_at numeric
@attribute U88964_at numeric
@attribute U62136_at numeric
@attribute L19437_at numeric
@attribute U50136_rna1_at numeric
@attribute X76648_at numeric
@attribute X14008_rna1_f_at numeric
@attribute S50223_at numeric
@attribute M63838_s_at numeric
@attribute U05572_s_at numeric
@attribute X12447_at numeric
@attribute K01396_at numeric
@attribute M33680_at numeric
@attribute D26156_s_at numeric
@attribute S76617_at numeric
@attribute Z49194_at numeric
@attribute L47738_at numeric
@attribute U57721_at numeric
@attribute D88270_at numeric
@attribute M32304_s_at numeric
@attribute X15414_at numeric
@attribute X74262_at numeric
@attribute J03801_f_at numeric
@attribute HG2788-HT2896_at numeric
@attribute M91432_at numeric
@attribute U16954_at numeric
@attribute X97267_rna1_s_at numeric
@attribute U88666_at numeric
@attribute M19045_f_at numeric
@attribute M31303_rna1_at numeric
@attribute X98411_at numeric
@attribute L21954_at numeric
@attribute AB002559_at numeric
@attribute U49020_cds2_s_at numeric
@attribute L11672_r_at numeric
@attribute S46622_at numeric
@attribute X78669_at numeric
@attribute X56468_at numeric
@attribute Z35227_at numeric
@attribute U07139_at numeric
@attribute J04615_at numeric
@attribute X68560_at numeric
@attribute D38073_at numeric
@attribute Y00787_s_at numeric
@attribute M83667_rna1_s_at numeric
@attribute X66401_cds1_at numeric
@attribute U19713_s_at numeric
@attribute X05908_at numeric
@attribute X07743_at numeric
@attribute CLASS {ALL,AML}

@data
-0.476778,0.697805,-0.466512,0.505223,-0.594971,0.728427,-1.252293,-0.556686,-0.974713,0.729646,0.382407,-2.151796,-1.473242,-0.595792,-1.838504,-0.78932,0.126375,-0.290969,-2.16545,1.438438,-0.918977,0.768691,-1.009614,-1.367184,-0.120727,-0.663096,-0.593829,-0.098168,0.208397,-0.05013,0.01353,-0.064584,-0.213216,0.827286,-3.285283,0.37252,0.362893,2.503604,-1.369302,-0.33306,0.331945,-2.762279,-0.406023,-0.606786,0.505895,-1.207053,-0.164664,0.756972,-0.364313,1.665005,0.104637,0.16231,1.264395,-0.472018,-1.264397,0.002496,0.176703,-0.768311,-0.419232,-0.242996,-1.05087,-1.120967,-0.19238,-0.490363,3.451705,-0.661773,1.043631,0.215716,0.537217,0.259974,-0.237192,-0.111018,-1.481783,-0.928115,-2.156724,-0.316941,-0.01017,-0.371169,0.150841,-0.693077,1.410302,-0.036121,-0.228635,0.127879,0.080527,0.733273,0.942026,-0.48405,0.132468,0.779669,0.840081,0.763902,-0.716515,-0.814714,-0.187449,-0.437148,0.926455,-0.224176,-0.668465,-0.450145,ALL
-0.801788,1.049685,-3.368956,1.02844,-1.339136,1.065983,-0.893085,-0.138351,-0.631667,0.947278,1.029416,-0.187838,-0.210668,-0.641858,-1.348916,-0.891128,-0.692232,-0.855017,-1.63425,1.077405,-0.581626,0.510856,-2.962421,0.007978,-0.524192,-0.650207,0.513804,0.645741,0.323358,0.473997,-1.011755,-1.951214,-0.83883,-0.18521,-1.816951,-0.557602,0.340739,2.31015,-0.122909,-0.66186,0.400138,-0.877735,-0.480732,-1.098821,1.128593,-1.814195,0.33844,-0.201021,-1.402988,1.684719,0.991109,-0.214138,1.490291,0.142057,-0.28229,-2.112265,0.46258,-0.202693,0.226276,0.859229,0.08651,-0.335424,-1.092541,-0.086469,1.003529,0.494653,1.234834,-0.15078,-3.041091,0.812642,-1.29543,0.328602,0.693601,-0.404595,-2.162412,0.37166,1.119175,0.073167,-0.796794,-0.312507,0.884475,-0.333862,0.269495,0.291977,0.481465,-0.295294,0.022847,0.031026,-0.238787,-0.522372,0.977552,0.458007,0.639693,0.659081,-0.587725,0.007397,1.695617,0.001367,-1.217415,-2.644864,ALL
0.442793,0.683436,-0.464309,0.66817,-2.695727,0.20178,0.312609,-0.167236,-1.440479,0.909506,-0.015916,-0.691496,-0.620956,-0.505322,-0.18759,-0.867067,0.706771,-0.388689,-0.865635,0.726308,-0.212568,0.740801,-1.328853,-0.649584,0.188644,-3.050376,-2.022885,0.262273,2.722846,1.778039,-2.395223,-3.12946,-0.023757,0.121439,-0.858024,0.541484,0.489233,1.742884,-1.402261,0.754574,1.071143,-1.044859,-0.512536,-0.040298,1.164416,-0.013832,1.463811,-1.180878,-1.091263,1.194218,0.328796,-2.10713,0.5437,0.387216,-0.922418,0.326341,-0.190971,0.079963,-1.009431,0.253322,-2.450525,-0.010882,0.080541,1.094181,1.087453,-0.727663,0.423081,0.114007,0.390325,1.643524,-0.427669,0.850585,-0.553272,0.096622,0.531914,0.779588,-0.720347,0.176955,1.236296,0.167766,1.455573,-0.074036,-0.613167,0.200479,0.265724,-0.029855,0.244044,-0.925054,-0.268786,0.35175,0.419951,-0.231261,-0.021665,0.320663,-0.42969,-2.854347,1.244185,-0.724403,-1.312967,-0.954301,ALL
-1.501085,2.01175,-0.743054,1.158852,0.450385,0.97453,-0.411916,-0.238415,-0.001152,1.23886,0.689543,0.143173,0.25485,-0.240477,0.10672,1.908811,-0.903504,0.436477,0.008504,0.393479,-0.061936,1.174711,-0.395407,0.16816,-0.01338,-0.178065,-0.705724,1.939701,0.595805,0.61258,0.196677,0.858779,-0.356304,0.275103,1.376306,1.288736,1.074671,1.009266,0.252649,1.39527,1.142504,-0.229709,-0.418456,-0.107906,-0.566837,0.229613,-0.164664,1.132556,0.540947,0.968469,1.819941,0.039557,0.298764,1.404239,0.719322,-0.095661,1.544144,0.074138,0.963358,0.976014,-0.21855,0.631975,0.217917,1.67526,0.164073,2.756948,0.540903,0.728658,-0.324473,1.673035,-0.807094,1.260482,1.091556,0.217809,0.3883,1.442723,0.223414,1.041714,0.560152,0.102957,0.669292,0.141858,-0.324588,-0.029499,1.953834,-0.331873,0.885308,0.281101,1.369826,0.048344,1.695239,-1.219495,1.618557,0.21902,-0.395523,-0.328433,1.081996,-0.157837,0.534321,0.445354,ALL
0.020161,0.552988,-0.581499,0.831215,-0.505522,0.620961,-0.586034,-0.193333,0.16461,0.158525,0.747139,-0.601105,-1.390524,-0.322539,-0.732531,-0.855407,0.247835,-0.31949,-1.577527,0.971355,-0.270315,1.68951,-0.672246,-1.141499,-0.581442,-0.452344,-0.872698,0.416103,1.465183,1.270659,-0.439153,-0.529314,-0.373155,-0.431153,-0.659614,0.086507,0.055645,1.751141,-0.666791,0.904262,1.142504,-0.871784,-0.370138,-0.543349,1.469573,-1.095146,1.227665,1.147728,-1.01669,0.354776,0.564544,-1.049334,1.919308,0.461996,-1.527991,0.005117,1.206786,-1.075073,0.404125,1.978548,-1.59176,-1.814735,-0.776596,0.299923,0.806082,-0.572111,2.233296,-0.162745,-0.07753,0.246384,-0.719936,1.245303,0.822544,-0.676037,-0.095736,0.729372,0.511231,0.296693,1.17677,-1.380595,0.741424,0.473223,-0.151673,-0.748313,1.121673,1.704017,1.342437,1.497829,0.691127,-0.168525,-0.992822,0.66397,0.937976,0.835909,-0.355944,-1.069409,0.858333,0.592185,-1.411037,-0.285102,ALL
-1.831595,-0.054714,-0.694684,0.352736,-0.542609,0.663954,-0.168243,0.012892,-0.556441,0.589243,-0.086094,-0.754938,-0.813233,-0.247587,-0.234681,-1.043618,-0.563188,-2.937911,-0.954047,0.486343,-0.431959,-0.516938,0.439476,0.001278,0.086075,-0.367721,-0.041981,0.499847,0.466499,0.531528,0.248949,-0.302395,-0.355798,-1.020366,-0.102346,1.855192,1.756143,-0.859942,-1.771217,-0.022651,-0.378463,-0.13495,-0.341604,-0.459018,-0.584052,-0.806727,-0.131907,-0.362484,-1.819137,0.090259,-0.26164,-1.841665,-0.055023,0.302374,-1.346269,-0.404993,-0.349315,0.517796,0.363486,-0.242996,-0.638827,-0.911097,0.675246,-0.616835,0.79172,-0.357231,-0.406214,1.453381,-0.399584,-0.803513,-0.158012,0.411822,0.76148,0.400402,-0.472094,0.004187,0.569345,-0.056949,0.408022,0.321559,1.238686,-0.255913,-0.954619,-0.205623,-1.170846,0.185439,-1.015163,-0.900961,0.245277,1.074017,0.792587,0.718482,-0.860301,1.266319,-0.419463,0.207031,0.242668,0.555738,0.163671,-1.259561,ALL
-0.693106,-0.323533,-0.462113,1.144458,-0.832434,0.850063,-0.519074,-2.550856,-0.711677,1.223329,1.462039,-0.810162,-0.635036,-0.711289,-1.338953,0.048285,-0.333638,-0.825217,-0.412823,1.325862,-1.960209,0.049311,-0.59388,-0.464431,-0.383356,-0.567384,0.302866,0.307282,-0.053458,0.478868,-1.60222,-0.699334,-0.401026,-0.93703,-0.406351,1.186074,1.617796,-0.947548,-1.20553,1.922368,1.048138,-0.820297,-0.380392,-0.483789,-0.869396,-0.484274,-0.648599,0.251119,-0.138853,-0.455598,0.450288,0.288946,-0.639868,-0.923989,-1.364321,-0.795848,-0.080327,-0.736981,0.969719,-0.613726,-0.385184,-0.407227,-1.489357,-0.102801,1.206994,-1.38162,-0.117064,1.767416,-0.229973,-0.727895,-0.168793,-0.137312,0.37819,-0.63987,0.053627,0.122777,2.681591,-0.660386,0.049405,-0.642473,0.480912,-1.098902,-0.891007,-0.98976,-0.4567,1.25208,0.045102,1.11351,1.500711,1.31588,0.805553,1.028371,0.07026,0.632181,-0.017491,-1.083374,-2.242658,0.087412,0.888508,-0.483347,ALL
-0.264516,0.659461,-0.622606,0.410399,-0.150075,0.290733,-0.124914,-0.291302,-0.84358,1.115577,0.918604,-0.643401,-1.18866,-0.384304,-0.917568,-0.470947,-0.100974,-0.480122,-0.476023,1.410119,-0.468765,1.190426,-0.617605,-0.238818,-0.130789,-0.794966,-2.270474,0.871583,0.998196,0.720229,-0.54399,-1.091115,0.358603,-1.109577,-0.512828,1.369815,0.772185,0.364469,-0.764576,-0.222536,0.016398,-0.305198,-0.442293,-0.423423,0.912677,-0.430153,1.080343,0.594653,-0.138853,1.250341,1.180374,-1.581235,0.724806,0.867702,-0.765294,-0.432835,1.435021,-0.966342,0.291803,0.840824,-0.821248,-0.110628,-0.639318,0.617857,1.389996,1.221539,1.405583,0.30583,-0.772181,0.779462,-1.528872,1.295718,1.034454,-0.630832,-0.773971,0.882352,-0.053893,1.110236,1.278331,-0.985275,0.395549,-0.379142,-0.448334,-1.03772,1.692676,0.827366,0.022847,0.451275,0.953319,0.807619,0.504319,0.384941,1.496143,0.188776,-0.557167,0.075047,0.583613,-0.89819,-0.331315,-0.430885,ALL
-0.701742,1.485811,-0.589914,-1.352868,-0.687078,-0.551041,-2.342825,-0.860933,-0.576052,1.031785,0.974505,-0.462211,-0.331637,-0.401094,-2.548407,-0.684968,-0.700748,-0.144641,-0.138627,2.403472,-0.091619,1.777419,-0.920307,-0.459706,-2.058722,-1.495661,-1.858198,2.099248,0.261022,0.383952,-0.040933,-1.107993,-0.876099,-0.783983,-0.606428,-0.005408,0.044862,0.115176,-0.592125,-0.02832,1.705096,-0.760429,-0.477232,-2.64601,0.075259,0.771506,1.68538,0.918769,0.333082,-0.079789,0.221921,-0.07354,-0.436199,1.238413,-0.237982,-1.382457,1.47657,-1.070642,0.58773,-0.645592,-0.003338,-1.97956,-1.839324,1.686988,-0.408755,0.228436,0.240591,1.197852,-1.871186,1.967633,0.334324,0.350341,0.122533,-1.21019,-1.533835,0.919655,1.353106,-1.240485,0.744655,-1.261677,-0.219824,-3.126956,-0.908082,-3.36969,0.303982,1.725805,0.104296,1.92837,1.72587,-1.263644,-0.119514,3.112273,0.617038,1.154319,-0.483692,-0.412674,-0.859328,-1.566228,-0.343015,-0.494775,ALL
-0.801788,1.018667,-0.514746,0.936545,-0.412035,-0.164059,-0.679826,-0.276637,-0.238856,0.258044,0.869489,-0.631238,-0.304072,-0.537675,-0.192907,-0.783306,-2.47831,-0.055579,-0.209746,1.334128,-0.531236,0.351762,-0.658116,-0.044214,-0.374656,-0.178065,-0.586625,0.48209,0.017462,0.752038,-0.414926,-0.975573,-0.308755,0.016982,-1.237943,0.122168,0.912184,1.506391,-0.053178,0.854116,0.769632,-0.731876,-0.576648,-0.892622,1.743839,-0.040695,1.611801,1.091048,-1.553037,0.920219,0.1227,-0.584876,0.323236,0.005298,0.006545,-0.466145,0.938317,-1.265591,-0.188851,0.273382,0.102971,0.12598,-0.227973,0.359559,1.482005,0.251707,2.074849,0.108439,-0.292299,1.619869,-1.135005,0.764331,0.040664,-1.213298,0.074034,0.497593,-0.371784,1.406868,-0.364189,-1.549482,0.033684,-0.228709,-0.35012,-1.114554,0.457539,1.134846,1.32849,0.23865,-1.052122,0.695935,1.861821,0.199901,-0.753102,0.246578,-0.439015,-0.480391,1.185328,-0.680337,-1.511514,-0.499404,ALL
